Category: All categories

Week,Christina Perri: (Worldwide),Zendaya: (Worldwide)
2011-09-24,16,9
2011-10-01,17,8
2011-10-08,19,8
2011-10-15,22,7
2011-10-22,24,8
2011-10-29,31,8
2011-11-05,29,10
2011-11-12,35,10
2011-11-19,37,10
2011-11-26,36,8
2011-12-03,30,8
2011-12-10,31,8
2011-12-17,35,12
2011-12-24,32,13
2011-12-31,29,12
2012-01-07,28,12
2012-01-14,28,11
2012-01-21,27,10
2012-01-28,29,9
2012-02-04,27,8
2012-02-11,30,9
2012-02-18,29,10
2012-02-25,23,10
2012-03-03,21,10
2012-03-10,19,12
2012-03-17,19,12
2012-03-24,17,12
2012-03-31,18,13
2012-04-07,19,18
2012-04-14,19,16
2012-04-21,18,14
2012-04-28,16,16
2012-05-05,15,15
2012-05-12,15,15
2012-05-19,14,15
2012-05-26,15,15
2012-06-02,18,15
2012-06-09,21,15
2012-06-16,17,14
2012-06-23,17,14
2012-06-30,16,15
2012-07-07,15,16
2012-07-14,14,17
2012-07-21,13,16
2012-07-28,13,18
2012-08-04,13,18
2012-08-11,14,18
2012-08-18,13,18
2012-08-25,15,16
2012-09-01,13,16
2012-09-08,12,13
2012-09-15,12,12
2012-09-22,11,11
2012-09-29,12,10
2012-10-06,11,9
2012-10-13,11,9
2012-10-20,10,10
2012-10-27,10,10
2012-11-03,12,10
2012-11-10,18,9
2012-11-17,34,12
2012-11-24,31,11
2012-12-01,27,10
2012-12-08,24,10
2012-12-15,22,11
2012-12-22,21,15
2012-12-29,19,15
2013-01-05,16,11
2013-01-12,16,11
2013-01-19,17,12
2013-01-26,18,10
2013-02-02,18,10
2013-02-09,17,9
2013-02-16,18,11
2013-02-23,17,18
2013-03-02,17,14
2013-03-09,16,15
2013-03-16,16,31
2013-03-23,16,31
2013-03-30,15,27
2013-04-06,15,23
2013-04-13,14,23
2013-04-20,14,19
2013-04-27,14,19
2013-05-04,13,22
2013-05-11,13,21
2013-05-18,13,35
2013-05-25,13,15
2013-06-01,12,15
2013-06-08,12,15
2013-06-15,11,13
2013-06-22,11,13
2013-06-29,11,14
2013-07-06,11,16
2013-07-13,11,20
2013-07-20,11,18
2013-07-27,11,17
2013-08-03,12,16
2013-08-10,11,23
2013-08-17,11,30
2013-08-24,10,25
2013-08-31,10,26
2013-09-07,10,22
2013-09-14,11,26
2013-09-21,11,22
2013-09-28,10,20
2013-10-05,10,22
2013-10-12,10,20
2013-10-19,9,17
2013-10-26,10,16
2013-11-02,13,15
2013-11-09,13,16
2013-11-16,15,14
2013-11-23,13,21
2013-11-30,12,16
2013-12-07,14,16
2013-12-14,13,16
2013-12-21,13,19
2013-12-28,15,20
2014-01-04,16,17
2014-01-11,15,16
2014-01-18,15,17
2014-01-25,14,20
2014-02-01,14,16
2014-02-08,16,17
2014-02-15,16,17
2014-02-22,16,15
2014-03-01,18,15
2014-03-08,18,14
2014-03-15,18,14
2014-03-22,21,15
2014-03-29,25,16
2014-04-05,24,14
2014-04-12,22,20
2014-04-19,22,15
2014-04-26,21,21
2014-05-03,20,16
2014-05-10,19,16
2014-05-17,20,16
2014-05-24,17,16
2014-05-31,17,16
2014-06-07,15,15
2014-06-14,15,39
2014-06-21,15,32
2014-06-28,13,38
2014-07-05,14,23
2014-07-12,14,21
2014-07-19,14,24
2014-07-26,15,20
2014-08-02,16,20
2014-08-09,14,26
2014-08-16,14,21
2014-08-23,14,19
2014-08-30,14,22
2014-09-06,13,16
2014-09-13,14,16
2014-09-20,13,19
2014-09-27,13,16
2014-10-04,13,15
2014-10-11,12,14
2014-10-18,12,13
2014-10-25,12,12
2014-11-01,12,12
2014-11-08,12,13
2014-11-15,12,21
2014-11-22,14,18
2014-11-29,12,13
2014-12-06,12,13
2014-12-13,13,11
2014-12-20,12,14
2014-12-27,11,19
2015-01-03,11,15
2015-01-10,11,14
2015-01-17,11,17
2015-01-24,13,15
2015-01-31,11,14
2015-02-07,12,21
2015-02-14,10,18
2015-02-21,11,100
2015-02-28,17,26
2015-03-07,16,18
2015-03-14,12,15
2015-03-21,10,14
2015-03-28,10,19
2015-04-04,11,18
2015-04-11,10,15
2015-04-18,12,19
2015-04-25,11,17
2015-05-02,11,20
2015-05-09,10,19
2015-05-16,10,26
2015-05-23,10,20
2015-05-30,10,20
2015-06-06,10,27
2015-06-13,10,21
2015-06-20,9,21
2015-06-27,9,37
2015-07-04,9,24
2015-07-11,10,25
2015-07-18,9,24
2015-07-25,9,22
2015-08-01,9,24
2015-08-08,9,26
2015-08-15,9,23
2015-08-22,8,25
2015-08-29,8,25
2015-09-05,9,18
2015-09-12,9,19
2015-09-19,9,18
2015-09-26,8,24
2015-10-03,8,18
2015-10-10,8,17
2015-10-17,8,24
2015-10-24,8,16
2015-10-31,7,16
2015-11-07,8,15
2015-11-14,7,14
2015-11-21,7,19
2015-11-28,7,15
2015-12-05,7,15
2015-12-12,7,15
2015-12-19,7,18
2015-12-26,7,21
2016-01-02,6,17
2016-01-09,6,20
2016-01-16,7,19
2016-01-23,6,20
2016-01-30,7,21
2016-02-06,7,20
2016-02-13,6,42
2016-02-20,6,23
2016-02-27,6,19
2016-03-05,6,23
2016-03-12,6,24
2016-03-19,6,24
2016-03-26,6,20
2016-04-02,6,19
2016-04-09,6,26
2016-04-16,6,18
2016-04-23,6,18
2016-04-30,6,20
2016-05-07,6,16
2016-05-14,6,14
2016-05-21,6,20
2016-05-28,6,20
2016-06-04,7,16
2016-06-11,8,15
2016-06-18,6,17
2016-06-25,6,15
2016-07-02,6,17
2016-07-09,6,17
2016-07-16,6,23
2016-07-23,6,21
2016-07-30,6,23
2016-08-06,5,17
2016-08-13,6,36
2016-08-20,6,33
2016-08-27,6,26
2016-09-03,5,21
2016-09-10,5,14
