Category: All categories

Week,Christina Perri: (Worldwide),Romeo Santos: (Worldwide)
2011-09-24,16,9
2011-10-01,17,15
2011-10-08,19,16
2011-10-15,22,16
2011-10-22,24,14
2011-10-29,31,19
2011-11-05,29,35
2011-11-12,35,27
2011-11-19,38,21
2011-11-26,36,19
2011-12-03,30,21
2011-12-10,31,20
2011-12-17,35,19
2011-12-24,32,19
2011-12-31,29,18
2012-01-07,28,20
2012-01-14,28,21
2012-01-21,27,20
2012-01-28,29,23
2012-02-04,27,23
2012-02-11,30,25
2012-02-18,29,27
2012-02-25,23,26
2012-03-03,21,24
2012-03-10,19,23
2012-03-17,19,23
2012-03-24,18,24
2012-03-31,18,21
2012-04-07,19,21
2012-04-14,19,21
2012-04-21,18,22
2012-04-28,16,22
2012-05-05,15,21
2012-05-12,15,21
2012-05-19,15,21
2012-05-26,16,22
2012-06-02,18,23
2012-06-09,21,22
2012-06-16,17,24
2012-06-23,17,21
2012-06-30,16,19
2012-07-07,15,18
2012-07-14,14,21
2012-07-21,13,21
2012-07-28,13,20
2012-08-04,13,18
2012-08-11,14,17
2012-08-18,13,16
2012-08-25,15,16
2012-09-01,13,15
2012-09-08,13,15
2012-09-15,12,15
2012-09-22,12,16
2012-09-29,12,16
2012-10-06,11,16
2012-10-13,11,15
2012-10-20,10,15
2012-10-27,10,13
2012-11-03,12,14
2012-11-10,18,14
2012-11-17,34,13
2012-11-24,31,12
2012-12-01,27,13
2012-12-08,24,14
2012-12-15,22,18
2012-12-22,21,17
2012-12-29,19,15
2013-01-05,16,16
2013-01-12,16,15
2013-01-19,18,16
2013-01-26,18,16
2013-02-02,19,15
2013-02-09,17,15
2013-02-16,18,18
2013-02-23,17,37
2013-03-02,18,21
2013-03-09,16,19
2013-03-16,16,19
2013-03-23,16,21
2013-03-30,15,20
2013-04-06,15,20
2013-04-13,15,18
2013-04-20,14,20
2013-04-27,14,21
2013-05-04,13,19
2013-05-11,13,18
2013-05-18,13,18
2013-05-25,13,17
2013-06-01,12,18
2013-06-08,12,18
2013-06-15,11,19
2013-06-22,11,20
2013-06-29,11,19
2013-07-06,11,18
2013-07-13,11,21
2013-07-20,11,20
2013-07-27,11,33
2013-08-03,12,27
2013-08-10,11,25
2013-08-17,11,27
2013-08-24,10,34
2013-08-31,10,31
2013-09-07,10,43
2013-09-14,11,44
2013-09-21,11,44
2013-09-28,10,44
2013-10-05,10,45
2013-10-12,10,44
2013-10-19,9,43
2013-10-26,10,44
2013-11-02,13,44
2013-11-09,13,43
2013-11-16,15,44
2013-11-23,13,46
2013-11-30,12,42
2013-12-07,14,45
2013-12-14,13,45
2013-12-21,13,49
2013-12-28,15,47
2014-01-04,16,45
2014-01-11,15,47
2014-01-18,15,49
2014-01-25,14,89
2014-02-01,14,61
2014-02-08,16,67
2014-02-15,16,68
2014-02-22,17,94
2014-03-01,18,83
2014-03-08,18,95
2014-03-15,18,100
2014-03-22,21,88
2014-03-29,25,76
2014-04-05,24,73
2014-04-12,23,70
2014-04-19,22,74
2014-04-26,21,77
2014-05-03,20,79
2014-05-10,19,74
2014-05-17,20,71
2014-05-24,18,70
2014-05-31,17,67
2014-06-07,15,61
2014-06-14,15,58
2014-06-21,15,57
2014-06-28,14,58
2014-07-05,14,63
2014-07-12,14,80
2014-07-19,14,87
2014-07-26,15,80
2014-08-02,16,77
2014-08-09,14,69
2014-08-16,14,69
2014-08-23,14,66
2014-08-30,14,65
2014-09-06,13,62
2014-09-13,14,61
2014-09-20,13,61
2014-09-27,13,64
2014-10-04,13,63
2014-10-11,12,60
2014-10-18,12,60
2014-10-25,12,59
2014-11-01,12,58
2014-11-08,12,71
2014-11-15,13,79
2014-11-22,14,70
2014-11-29,12,63
2014-12-06,12,65
2014-12-13,13,67
2014-12-20,12,72
2014-12-27,11,66
2015-01-03,11,58
2015-01-10,11,61
2015-01-17,11,65
2015-01-24,13,70
2015-01-31,11,68
2015-02-07,12,72
2015-02-14,10,82
2015-02-21,11,98
2015-02-28,17,82
2015-03-07,16,71
2015-03-14,12,67
2015-03-21,11,65
2015-03-28,10,67
2015-04-04,11,70
2015-04-11,10,65
2015-04-18,12,67
2015-04-25,11,65
2015-05-02,11,54
2015-05-09,11,54
2015-05-16,10,54
2015-05-23,10,55
2015-05-30,10,52
2015-06-06,10,51
2015-06-13,10,46
2015-06-20,9,45
2015-06-27,9,44
2015-07-04,9,42
2015-07-11,10,42
2015-07-18,9,41
2015-07-25,10,39
2015-08-01,9,38
2015-08-08,9,35
2015-08-15,9,35
2015-08-22,8,35
2015-08-29,8,35
2015-09-05,9,37
2015-09-12,9,37
2015-09-19,9,36
2015-09-26,8,34
2015-10-03,8,35
2015-10-10,8,34
2015-10-17,8,34
2015-10-24,8,36
2015-10-31,8,36
2015-11-07,8,37
2015-11-14,7,37
2015-11-21,7,36
2015-11-28,7,36
2015-12-05,7,32
2015-12-12,7,31
2015-12-19,7,33
2015-12-26,7,31
2016-01-02,6,28
2016-01-09,6,27
2016-01-16,7,28
2016-01-23,6,27
2016-01-30,7,27
2016-02-06,7,26
2016-02-13,6,26
2016-02-20,6,26
2016-02-27,6,26
2016-03-05,6,26
2016-03-12,6,24
2016-03-19,6,23
2016-03-26,6,22
2016-04-02,6,23
2016-04-09,6,23
2016-04-16,6,22
2016-04-23,6,21
2016-04-30,6,22
2016-05-07,6,21
2016-05-14,6,21
2016-05-21,6,21
2016-05-28,6,20
2016-06-04,7,20
2016-06-11,8,20
2016-06-18,6,19
2016-06-25,6,19
2016-07-02,6,19
2016-07-09,6,20
2016-07-16,6,21
2016-07-23,6,20
2016-07-30,6,21
2016-08-06,5,20
2016-08-13,6,20
2016-08-20,6,19
2016-08-27,6,19
2016-09-03,6,18
2016-09-10,5,17
