Week,Bruno Mars: (Worldwide),Rihanna: (Worldwide)
2011-09-24,29,65
2011-10-01,27,54
2011-10-08,25,59
2011-10-15,24,66
2011-10-22,27,65
2011-10-29,24,66
2011-11-05,29,72
2011-11-12,29,71
2011-11-19,32,78
2011-11-26,29,65
2011-12-03,27,61
2011-12-10,26,57
2011-12-17,25,60
2011-12-24,26,66
2011-12-31,24,57
2012-01-07,22,53
2012-01-14,23,54
2012-01-21,25,53
2012-01-28,22,45
2012-02-04,21,45
2012-02-11,37,60
2012-02-18,23,68
2012-02-25,19,47
2012-03-03,18,47
2012-03-10,17,50
2012-03-17,17,44
2012-03-24,15,45
2012-03-31,17,44
2012-04-07,15,45
2012-04-14,13,49
2012-04-21,13,44
2012-04-28,13,50
2012-05-05,12,51
2012-05-12,12,52
2012-05-19,11,47
2012-05-26,13,45
2012-06-02,11,43
2012-06-09,11,50
2012-06-16,11,44
2012-06-23,10,44
2012-06-30,10,41
2012-07-07,10,39
2012-07-14,10,37
2012-07-21,9,38
2012-07-28,9,34
2012-08-04,9,33
2012-08-11,9,37
2012-08-18,8,43
2012-08-25,8,44
2012-09-01,8,46
2012-09-08,8,50
2012-09-15,9,35
2012-09-22,9,45
2012-09-29,11,47
2012-10-06,10,46
2012-10-13,11,45
2012-10-20,22,45
2012-10-27,14,43
2012-11-03,15,53
2012-11-10,15,75
2012-11-17,16,78
2012-11-24,17,73
2012-12-01,23,66
2012-12-08,27,67
2012-12-15,26,63
2012-12-22,28,76
2012-12-29,23,71
2013-01-05,21,58
2013-01-12,21,57
2013-01-19,24,54
2013-01-26,23,55
2013-02-02,24,57
2013-02-09,36,98
2013-02-16,30,82
2013-02-23,33,68
2013-03-02,32,67
2013-03-09,29,65
2013-03-16,28,59
2013-03-23,27,59
2013-03-30,25,55
2013-04-06,26,54
2013-04-13,23,51
2013-04-20,23,52
2013-04-27,23,51
2013-05-04,23,53
2013-05-11,23,47
2013-05-18,24,47
2013-05-25,23,52
2013-06-01,31,48
2013-06-08,23,47
2013-06-15,26,46
2013-06-22,24,44
2013-06-29,23,45
2013-07-06,23,46
2013-07-13,22,43
2013-07-20,22,42
2013-07-27,22,37
2013-08-03,22,42
2013-08-10,23,36
2013-08-17,21,35
2013-08-24,39,39
2013-08-31,24,33
2013-09-07,24,33
2013-09-14,20,32
2013-09-21,20,39
2013-09-28,21,49
2013-10-05,21,43
2013-10-12,24,39
2013-10-19,21,37
2013-10-26,20,42
2013-11-02,21,37
2013-11-09,22,40
2013-11-16,19,45
2013-11-23,17,47
2013-11-30,17,37
2013-12-07,18,35
2013-12-14,16,38
2013-12-21,17,42
2013-12-28,17,39
2014-01-04,16,37
2014-01-11,17,44
2014-01-18,18,46
2014-01-25,27,49
2014-02-01,94,48
2014-02-08,23,37
2014-02-15,20,42
2014-02-22,17,45
2014-03-01,17,42
2014-03-08,17,36
2014-03-15,17,37
2014-03-22,17,34
2014-03-29,15,32
2014-04-05,14,41
2014-04-12,15,36
2014-04-19,14,33
2014-04-26,13,59
2014-05-03,13,44
2014-05-10,13,38
2014-05-17,12,32
2014-05-24,12,30
2014-05-31,13,100
2014-06-07,12,42
2014-06-14,12,37
2014-06-21,11,31
2014-06-28,12,30
2014-07-05,12,34
2014-07-12,12,43
2014-07-19,12,27
2014-07-26,11,29
2014-08-02,11,30
2014-08-09,11,29
2014-08-16,10,30
2014-08-23,10,29
2014-08-30,11,37
2014-09-06,10,26
2014-09-13,9,24
2014-09-20,9,45
2014-09-27,9,26
2014-10-04,10,23
