Category: All categories

Week,Ariana Grande: (Worldwide),Nicki Minaj: (Worldwide)
2011-09-24,2,20
2011-10-01,2,20
2011-10-08,2,25
2011-10-15,2,25
2011-10-22,2,23
2011-10-29,2,24
2011-11-05,2,24
2011-11-12,2,19
2011-11-19,2,23
2011-11-26,2,22
2011-12-03,2,21
2011-12-10,2,19
2011-12-17,3,21
2011-12-24,3,25
2011-12-31,3,23
2012-01-07,2,18
2012-01-14,2,19
2012-01-21,2,23
2012-01-28,2,24
2012-02-04,2,28
2012-02-11,3,51
2012-02-18,3,28
2012-02-25,2,26
2012-03-03,3,22
2012-03-10,2,23
2012-03-17,2,26
2012-03-24,2,28
2012-03-31,3,37
2012-04-07,3,36
2012-04-14,2,32
2012-04-21,3,30
2012-04-28,3,33
2012-05-05,3,31
2012-05-12,3,34
2012-05-19,3,31
2012-05-26,3,29
2012-06-02,3,30
2012-06-09,3,27
2012-06-16,3,26
2012-06-23,4,26
2012-06-30,4,29
2012-07-07,4,28
2012-07-14,5,24
2012-07-21,6,23
2012-07-28,8,25
2012-08-04,7,27
2012-08-11,6,26
2012-08-18,5,26
2012-08-25,5,24
2012-09-01,4,32
2012-09-08,4,28
2012-09-15,4,24
2012-09-22,3,21
2012-09-29,3,30
2012-10-06,3,23
2012-10-13,3,25
2012-10-20,3,26
2012-10-27,3,25
2012-11-03,3,25
2012-11-10,3,25
2012-11-17,4,31
2012-11-24,3,24
2012-12-01,3,23
2012-12-08,3,21
2012-12-15,4,20
2012-12-22,5,24
2012-12-29,7,24
2013-01-05,5,20
2013-01-12,4,31
2013-01-19,6,26
2013-01-26,5,22
2013-02-02,4,20
2013-02-09,4,20
2013-02-16,4,22
2013-02-23,4,25
2013-03-02,3,22
2013-03-09,4,24
2013-03-16,4,23
2013-03-23,11,21
2013-03-30,11,26
2013-04-06,9,23
2013-04-13,8,20
2013-04-20,8,18
2013-04-27,10,19
2013-05-04,9,18
2013-05-11,10,17
2013-05-18,10,22
2013-05-25,11,17
2013-06-01,12,15
2013-06-08,12,14
2013-06-15,14,16
2013-06-22,14,16
2013-06-29,13,19
2013-07-06,13,17
2013-07-13,13,15
2013-07-20,16,22
2013-07-27,14,22
2013-08-03,15,17
2013-08-10,14,15
2013-08-17,15,14
2013-08-24,18,14
2013-08-31,19,13
2013-09-07,18,15
2013-09-14,13,12
2013-09-21,13,14
2013-09-28,12,14
2013-10-05,14,12
2013-10-12,12,16
2013-10-19,11,14
2013-10-26,11,17
2013-11-02,12,16
2013-11-09,13,12
2013-11-16,11,11
2013-11-23,20,12
2013-11-30,13,11
