Week,Ariana Grande: (Worldwide),Adele: (Worldwide)
2011-09-24,1,28
2011-10-01,1,30
2011-10-08,2,29
2011-10-15,2,27
2011-10-22,1,28
2011-10-29,1,34
2011-11-05,1,30
2011-11-12,1,31
2011-11-19,1,33
2011-11-26,1,34
2011-12-03,1,34
2011-12-10,2,38
2011-12-17,2,36
2011-12-24,2,39
2011-12-31,2,37
2012-01-07,1,32
2012-01-14,1,34
2012-01-21,1,31
2012-01-28,1,30
2012-02-04,1,33
2012-02-11,2,100
2012-02-18,2,54
2012-02-25,2,39
2012-03-03,2,34
2012-03-10,1,31
2012-03-17,1,30
2012-03-24,2,27
2012-03-31,2,27
2012-04-07,2,26
2012-04-14,2,23
2012-04-21,2,22
2012-04-28,2,22
2012-05-05,2,20
2012-05-12,2,19
2012-05-19,2,19
2012-05-26,2,18
2012-06-02,2,19
2012-06-09,2,18
2012-06-16,2,17
2012-06-23,3,24
2012-06-30,3,20
2012-07-07,3,17
2012-07-14,3,15
2012-07-21,4,15
2012-07-28,5,14
2012-08-04,5,13
2012-08-11,4,15
2012-08-18,3,13
2012-08-25,3,14
2012-09-01,3,13
2012-09-08,2,12
2012-09-15,2,14
2012-09-22,2,13
2012-09-29,2,21
2012-10-06,2,19
2012-10-13,2,16
2012-10-20,2,21
2012-10-27,2,18
2012-11-03,2,19
2012-11-10,2,18
2012-11-17,2,17
2012-11-24,2,15
2012-12-01,2,14
2012-12-08,2,13
2012-12-15,2,13
2012-12-22,3,15
2012-12-29,5,15
2013-01-05,3,13
2013-01-12,2,16
2013-01-19,4,12
2013-01-26,3,12
2013-02-02,3,11
2013-02-09,2,18
2013-02-16,3,13
2013-02-23,2,25
2013-03-02,2,12
2013-03-09,2,11
2013-03-16,3,10
2013-03-23,7,11
2013-03-30,7,10
2013-04-06,5,9
2013-04-13,5,9
2013-04-20,5,8
2013-04-27,6,8
2013-05-04,6,8
2013-05-11,6,8
2013-05-18,6,8
2013-05-25,7,10
2013-06-01,8,8
2013-06-08,8,7
2013-06-15,9,7
2013-06-22,9,8
2013-06-29,8,7
2013-07-06,8,7
2013-07-13,8,7
2013-07-20,10,7
2013-07-27,9,7
2013-08-03,10,6
2013-08-10,9,7
2013-08-17,9,7
2013-08-24,12,7
2013-08-31,12,7
2013-09-07,11,7
2013-09-14,8,7
2013-09-21,8,6
2013-09-28,7,7
2013-10-05,9,7
2013-10-12,7,7
2013-10-19,7,8
2013-10-26,7,8
2013-11-02,8,8
2013-11-09,8,7
2013-11-16,7,7
2013-11-23,13,7
2013-11-30,8,6
2013-12-07,8,7
2013-12-14,8,7
2013-12-21,9,8
2013-12-28,12,8
2014-01-04,8,7
2014-01-11,7,7
2014-01-18,7,7
2014-01-25,10,7
2014-02-01,6,6
2014-02-08,6,7
2014-02-15,6,6
2014-02-22,6,6
2014-03-01,6,9
2014-03-08,6,7
2014-03-15,6,6
2014-03-22,6,7
2014-03-29,7,6
2014-04-05,6,6
2014-04-12,6,6
2014-04-19,7,6
2014-04-26,19,6
2014-05-03,14,6
2014-05-10,12,6
2014-05-17,16,6
2014-05-24,14,6
2014-05-31,15,6
2014-06-07,13,5
2014-06-14,13,5
2014-06-21,16,5
2014-06-28,20,5
2014-07-05,18,5
2014-07-12,17,6
2014-07-19,18,6
2014-07-26,18,5
2014-08-02,18,5
2014-08-09,27,5
2014-08-16,24,5
2014-08-23,42,5
2014-08-30,63,6
2014-09-06,30,5
2014-09-13,26,5
2014-09-20,24,5
2014-09-27,22,5
2014-10-04,20,5
2014-10-11,19,5
2014-10-18,18,5
2014-10-25,17,5
2014-11-01,20,5
2014-11-08,24,5
2014-11-15,20,6
2014-11-22,25,5
2014-11-29,24,5
2014-12-06,24,5
2014-12-13,22,5
2014-12-20,25,5
2014-12-27,25,6
2015-01-03,19,5
2015-01-10,17,5
2015-01-17,16,5
2015-01-24,15,5
2015-01-31,15,5
2015-02-07,20,5
2015-02-14,22,5
2015-02-21,17,5
2015-02-28,16,4
2015-03-07,15,4
2015-03-14,15,4
2015-03-21,18,4
2015-03-28,19,4
2015-04-04,20,4
2015-04-11,16,4
2015-04-18,20,4
2015-04-25,15,4
2015-05-02,13,5
2015-05-09,14,4
2015-05-16,15,4
2015-05-23,14,4
2015-05-30,14,4
2015-06-06,15,4
2015-06-13,13,4
