Category: All categories

Week,Selena Gomez: (Worldwide),Adele: (Worldwide)
2011-09-24,23,28
2011-10-01,24,30
2011-10-08,25,29
2011-10-15,25,27
2011-10-22,24,28
2011-10-29,30,34
2011-11-05,31,30
2011-11-12,26,31
2011-11-19,26,33
2011-11-26,23,34
2011-12-03,24,34
2011-12-10,24,38
2011-12-17,26,36
2011-12-24,27,39
2011-12-31,26,37
2012-01-07,23,32
2012-01-14,23,34
2012-01-21,24,31
2012-01-28,23,30
2012-02-04,24,33
2012-02-11,21,100
2012-02-18,22,54
2012-02-25,23,39
2012-03-03,22,34
2012-03-10,19,31
2012-03-17,18,30
2012-03-24,18,27
2012-03-31,21,27
2012-04-07,19,26
2012-04-14,18,23
2012-04-21,18,22
2012-04-28,17,22
2012-05-05,16,20
2012-05-12,16,19
2012-05-19,18,19
2012-05-26,18,18
2012-06-02,18,19
2012-06-09,18,18
2012-06-16,18,17
2012-06-23,18,24
2012-06-30,18,20
2012-07-07,18,17
2012-07-14,18,15
2012-07-21,22,15
2012-07-28,19,14
2012-08-04,17,13
2012-08-11,17,15
2012-08-18,17,13
2012-08-25,16,14
2012-09-01,16,13
2012-09-08,15,12
2012-09-15,15,14
2012-09-22,14,13
2012-09-29,19,21
2012-10-06,13,19
2012-10-13,13,16
2012-10-20,13,21
2012-10-27,13,18
2012-11-03,15,19
2012-11-10,25,18
2012-11-17,18,17
2012-11-24,14,15
2012-12-01,13,14
2012-12-08,13,13
2012-12-15,14,13
2012-12-22,17,15
2012-12-29,17,15
2013-01-05,15,13
2013-01-12,16,16
2013-01-19,16,12
2013-01-26,15,12
2013-02-02,15,11
2013-02-09,14,18
2013-02-16,15,13
2013-02-23,15,25
2013-03-02,15,12
2013-03-09,17,11
2013-03-16,21,10
2013-03-23,24,11
2013-03-30,19,10
2013-04-06,19,9
2013-04-13,23,9
2013-04-20,21,8
2013-04-27,20,8
2013-05-04,22,8
2013-05-11,21,8
2013-05-18,23,8
2013-05-25,21,10
2013-06-01,23,8
2013-06-08,20,7
2013-06-15,21,7
2013-06-22,21,8
2013-06-29,24,7
2013-07-06,24,7
2013-07-13,26,7
2013-07-20,32,7
2013-07-27,25,7
2013-08-03,22,6
2013-08-10,23,7
2013-08-17,21,7
2013-08-24,26,7
2013-08-31,20,7
2013-09-07,19,7
2013-09-14,17,7
2013-09-21,16,6
2013-09-28,16,7
2013-10-05,16,7
2013-10-12,17,7
2013-10-19,15,8
2013-10-26,16,8
2013-11-02,16,8
2013-11-09,17,7
2013-11-16,15,7
2013-11-23,18,7
2013-11-30,15,6
2013-12-07,16,7
2013-12-14,15,7
2013-12-21,20,8
2013-12-28,23,8
2014-01-04,17,7
2014-01-11,15,7
2014-01-18,18,7
2014-01-25,16,7
2014-02-01,18,6
2014-02-08,15,7
2014-02-15,15,6
2014-02-22,13,6
2014-03-01,15,9
2014-03-08,19,7
2014-03-15,15,6
2014-03-22,16,7
2014-03-29,15,6
2014-04-05,14,6
2014-04-12,14,6
2014-04-19,14,6
2014-04-26,15,6
2014-05-03,13,6
2014-05-10,13,6
2014-05-17,15,6
2014-05-24,14,6
2014-05-31,13,6
2014-06-07,13,5
2014-06-14,14,5
2014-06-21,14,5
2014-06-28,13,5
2014-07-05,21,5
2014-07-12,19,6
2014-07-19,20,6
2014-07-26,18,5
2014-08-02,19,5
2014-08-09,16,5
2014-08-16,15,5
2014-08-23,14,5
2014-08-30,23,6
2014-09-06,12,5
2014-09-13,12,5
2014-09-20,11,5
2014-09-27,11,5
2014-10-04,11,5
2014-10-11,10,5
2014-10-18,10,5
2014-10-25,9,5
2014-11-01,14,5
2014-11-08,14,5
2014-11-15,13,6
2014-11-22,20,5
2014-11-29,13,5
2014-12-06,13,5
2014-12-13,12,5
2014-12-20,13,5
2014-12-27,16,6
2015-01-03,13,5
2015-01-10,13,5
2015-01-17,13,5
2015-01-24,13,5
2015-01-31,12,5
2015-02-07,11,5
2015-02-14,15,5
2015-02-21,13,5
2015-02-28,11,4
2015-03-07,12,4
2015-03-14,11,4
2015-03-21,11,4
2015-03-28,13,4
2015-04-04,12,4
2015-04-11,15,4
2015-04-18,15,4
2015-04-25,13,4
2015-05-02,13,5
2015-05-09,12,4
2015-05-16,12,4
2015-05-23,11,4
2015-05-30,10,4
2015-06-06,10,4
2015-06-13,11,4
2015-06-20,17,4
2015-06-27,16,4
2015-07-04,14,4
2015-07-11,13,4
2015-07-18,14,4
2015-07-25,12,4
2015-08-01,12,4
2015-08-08,12,4
2015-08-15,12,4
2015-08-22,13,5
2015-08-29,15,9
2015-09-05,17,5
2015-09-12,14,4
2015-09-19,15,5
2015-09-26,13,5
2015-10-03,19,4
2015-10-10,20,4
2015-10-17,17,39
2015-10-24,13,78
2015-10-31,13,59
2015-11-07,14,47
2015-11-14,13,64
2015-11-21,21,94
2015-11-28,15,68
2015-12-05,21,49
2015-12-12,18,67
2015-12-19,22,41
2015-12-26,19,33
2016-01-02,17,27
2016-01-09,15,33
2016-01-16,16,28
2016-01-23,18,24
2016-01-30,13,22
2016-02-06,13,21
2016-02-13,16,34
2016-02-20,14,25
2016-02-27,12,19
2016-03-05,14,17
2016-03-12,13,16
2016-03-19,16,16
2016-03-26,15,14
2016-04-02,13,13
2016-04-09,13,12
2016-04-16,13,11
2016-04-23,13,11
2016-04-30,13,13
2016-05-07,17,11
2016-05-14,14,11
2016-05-21,12,17
2016-05-28,13,14
2016-06-04,14,12
2016-06-11,15,12
2016-06-18,16,13
2016-06-25,14,14
2016-07-02,14,12
2016-07-09,15,11
2016-07-16,19,12
2016-07-23,17,12
2016-07-30,15,11
2016-08-06,13,11
2016-08-13,19,11
2016-08-20,13,10
2016-08-27,18,9
2016-09-03,13,9
2016-09-10,11,9
