Week,Selena Gomez: (Worldwide),Katy Perry: (Worldwide)
2011-09-24,39,29
2011-10-01,41,24
2011-10-08,43,23
2011-10-15,43,23
2011-10-22,41,23
2011-10-29,50,22
2011-11-05,52,27
2011-11-12,44,29
2011-11-19,44,29
2011-11-26,39,24
2011-12-03,39,24
2011-12-10,40,27
2011-12-17,44,24
2011-12-24,46,47
2011-12-31,44,43
2012-01-07,38,32
2012-01-14,39,30
2012-01-21,40,28
2012-01-28,39,23
2012-02-04,40,23
2012-02-11,36,37
2012-02-18,37,25
2012-02-25,38,25
2012-03-03,36,24
2012-03-10,32,22
2012-03-17,31,30
2012-03-24,30,31
2012-03-31,36,32
2012-04-07,32,24
2012-04-14,31,24
2012-04-21,30,23
2012-04-28,29,20
2012-05-05,27,18
2012-05-12,27,18
2012-05-19,31,22
2012-05-26,30,19
2012-06-02,30,22
2012-06-09,30,24
2012-06-16,31,35
2012-06-23,30,34
2012-06-30,31,39
2012-07-07,31,34
2012-07-14,31,30
2012-07-21,37,26
2012-07-28,31,28
2012-08-04,29,24
2012-08-11,29,34
2012-08-18,28,24
2012-08-25,28,25
2012-09-01,28,24
2012-09-08,24,21
2012-09-15,24,22
2012-09-22,23,23
2012-09-29,32,19
2012-10-06,22,18
2012-10-13,21,18
2012-10-20,22,21
2012-10-27,22,17
2012-11-03,26,18
2012-11-10,41,15
2012-11-17,31,15
2012-11-24,23,14
2012-12-01,22,14
2012-12-08,22,14
2012-12-15,23,14
2012-12-22,28,16
2012-12-29,29,16
2013-01-05,26,15
2013-01-12,26,13
2013-01-19,27,15
2013-01-26,25,13
2013-02-02,25,13
2013-02-09,24,42
2013-02-16,25,15
2013-02-23,25,13
2013-03-02,25,12
2013-03-09,29,12
2013-03-16,34,13
2013-03-23,40,14
2013-03-30,32,13
2013-04-06,31,12
2013-04-13,38,11
2013-04-20,35,11
2013-04-27,34,12
2013-05-04,36,12
2013-05-11,36,11
2013-05-18,39,12
2013-05-25,36,12
2013-06-01,38,11
2013-06-08,34,12
2013-06-15,35,13
2013-06-22,35,12
2013-06-29,41,13
2013-07-06,40,13
2013-07-13,43,12
2013-07-20,54,12
2013-07-27,43,15
2013-08-03,38,17
2013-08-10,38,32
2013-08-17,36,24
2013-08-24,44,32
2013-08-31,34,33
2013-09-07,31,38
2013-09-14,29,34
2013-09-21,27,31
2013-09-28,26,34
2013-10-05,26,30
2013-10-12,29,37
2013-10-19,25,47
2013-10-26,27,39
2013-11-02,27,36
2013-11-09,28,35
2013-11-16,24,38
2013-11-23,30,36
2013-11-30,26,31
2013-12-07,26,30
2013-12-14,26,38
2013-12-21,34,37
2013-12-28,38,35
2014-01-04,29,29
2014-01-11,24,29
2014-01-18,30,37
2014-01-25,28,46
2014-02-01,31,30
2014-02-08,26,29
2014-02-15,25,32
2014-02-22,22,47
2014-03-01,25,40
2014-03-08,32,34
2014-03-15,26,32
2014-03-22,27,32
2014-03-29,25,31
2014-04-05,23,30
2014-04-12,24,31
2014-04-19,24,32
2014-04-26,25,31
2014-05-03,22,29
2014-05-10,21,27
2014-05-17,24,30
2014-05-24,23,28
2014-05-31,21,28
2014-06-07,22,27
2014-06-14,23,25
2014-06-21,23,25
2014-06-28,22,24
2014-07-05,35,23
2014-07-12,32,22
2014-07-19,33,22
2014-07-26,31,24
2014-08-02,33,27
2014-08-09,27,24
2014-08-16,25,24
2014-08-23,23,29
2014-08-30,39,22
2014-09-06,20,22
2014-09-13,20,21
2014-09-20,18,20
2014-09-27,19,22
2014-10-04,18,24
2014-10-11,18,19
2014-10-18,17,19
2014-10-25,16,20
2014-11-01,23,20
2014-11-08,23,19
2014-11-15,21,17
2014-11-22,33,22
2014-11-29,22,17
2014-12-06,22,17
2014-12-13,20,16
2014-12-20,23,19
2014-12-27,27,20
2015-01-03,22,18
2015-01-10,23,17
2015-01-17,22,19
2015-01-24,21,24
2015-01-31,20,100
2015-02-07,19,34
2015-02-14,25,21
2015-02-21,22,19
2015-02-28,19,18
2015-03-07,20,17
2015-03-14,19,16
2015-03-21,19,16
2015-03-28,22,18
2015-04-04,20,17
2015-04-11,25,16
2015-04-18,25,15
2015-04-25,21,16
2015-05-02,22,17
2015-05-09,20,16
2015-05-16,20,17
2015-05-23,18,15
2015-05-30,17,15
2015-06-06,17,16
2015-06-13,18,16
2015-06-20,29,14
2015-06-27,26,16
2015-07-04,23,15
2015-07-11,23,14
2015-07-18,24,17
2015-07-25,21,15
2015-08-01,20,14
2015-08-08,20,13
2015-08-15,21,13
2015-08-22,22,13
2015-08-29,26,14
2015-09-05,28,15
2015-09-12,23,13
2015-09-19,25,15
2015-09-26,22,23
2015-10-03,33,15
2015-10-10,33,14
2015-10-17,28,13
2015-10-24,23,15
2015-10-31,22,13
2015-11-07,24,12
2015-11-14,22,12
2015-11-21,36,13
2015-11-28,25,12
2015-12-05,36,12
2015-12-12,30,12
2015-12-19,36,13
2015-12-26,32,15
2016-01-02,28,13
2016-01-09,25,15
2016-01-16,26,12
2016-01-23,30,12
2016-01-30,23,11
2016-02-06,23,13
2016-02-13,26,11
2016-02-20,23,12
2016-02-27,21,14
2016-03-05,24,10
2016-03-12,23,9
2016-03-19,26,11
2016-03-26,24,10
2016-04-02,22,11
2016-04-09,23,11
2016-04-16,22,10
2016-04-23,22,9
2016-04-30,22,10
2016-05-07,29,11
2016-05-14,23,10
2016-05-21,20,9
2016-05-28,21,10
2016-06-04,23,8
2016-06-11,26,8
2016-06-18,27,9
2016-06-25,24,9
2016-07-02,24,9
2016-07-09,25,14
2016-07-16,32,14
2016-07-23,28,15
2016-07-30,26,26
2016-08-06,22,18
2016-08-13,31,13
2016-08-20,21,11
2016-08-27,30,11
2016-09-03,21,10
2016-09-10,19,10
