Week,Michael Jackson: (Worldwide),Adele: (Worldwide)
2011-09-24,24,28
2011-10-01,18,30
2011-10-08,22,28
2011-10-15,15,27
2011-10-22,15,28
2011-10-29,16,34
2011-11-05,22,30
2011-11-12,14,31
2011-11-19,13,33
2011-11-26,15,34
2011-12-03,13,34
2011-12-10,13,38
2011-12-17,13,36
2011-12-24,14,39
2011-12-31,12,37
2012-01-07,11,33
2012-01-14,11,33
2012-01-21,12,31
2012-01-28,13,31
2012-02-04,12,32
2012-02-11,16,100
2012-02-18,12,54
2012-02-25,11,39
2012-03-03,11,34
2012-03-10,10,31
2012-03-17,10,31
2012-03-24,10,27
2012-03-31,9,27
2012-04-07,9,26
2012-04-14,9,23
2012-04-21,9,22
2012-04-28,10,22
2012-05-05,9,20
2012-05-12,9,19
2012-05-19,9,18
2012-05-26,10,18
2012-06-02,10,19
2012-06-09,10,17
2012-06-16,11,17
2012-06-23,21,24
2012-06-30,11,20
2012-07-07,10,17
2012-07-14,10,15
2012-07-21,13,15
2012-07-28,10,14
2012-08-04,10,13
2012-08-11,10,15
2012-08-18,10,13
2012-08-25,14,14
2012-09-01,10,13
2012-09-08,9,12
2012-09-15,10,14
2012-09-22,9,13
2012-09-29,9,21
2012-10-06,9,19
2012-10-13,9,16
2012-10-20,10,21
2012-10-27,10,19
2012-11-03,8,19
2012-11-10,9,18
2012-11-17,10,16
2012-11-24,9,15
2012-12-01,9,14
2012-12-08,9,13
2012-12-15,8,13
2012-12-22,10,16
2012-12-29,10,15
2013-01-05,8,13
2013-01-12,8,16
2013-01-19,8,12
2013-01-26,8,12
2013-02-02,9,11
2013-02-09,9,18
2013-02-16,9,13
2013-02-23,9,25
2013-03-02,8,12
2013-03-09,8,11
2013-03-16,8,10
2013-03-23,8,10
2013-03-30,9,10
2013-04-06,9,9
2013-04-13,9,9
2013-04-20,8,9
2013-04-27,9,8
2013-05-04,10,8
2013-05-11,9,8
2013-05-18,9,8
2013-05-25,9,10
2013-06-01,12,8
2013-06-08,10,8
2013-06-15,10,7
2013-06-22,17,7
2013-06-29,11,7
2013-07-06,9,7
2013-07-13,9,7
2013-07-20,9,7
2013-07-27,9,7
2013-08-03,9,7
2013-08-10,9,7
2013-08-17,9,7
2013-08-24,13,7
2013-08-31,9,7
2013-09-07,8,7
2013-09-14,8,7
2013-09-21,8,7
2013-09-28,9,7
2013-10-05,8,7
2013-10-12,8,7
2013-10-19,10,8
2013-10-26,11,8
2013-11-02,8,8
2013-11-09,8,7
2013-11-16,8,7
2013-11-23,9,7
2013-11-30,8,7
2013-12-07,8,6
2013-12-14,8,7
2013-12-21,10,8
2013-12-28,13,8
2014-01-04,9,7
2014-01-11,8,7
2014-01-18,8,7
2014-01-25,8,7
2014-02-01,8,6
2014-02-08,8,7
2014-02-15,8,6
2014-02-22,8,6
2014-03-01,9,9
2014-03-08,8,7
2014-03-15,8,6
2014-03-22,8,7
2014-03-29,9,6
2014-04-05,9,6
2014-04-12,15,6
2014-04-19,13,6
2014-04-26,12,6
2014-05-03,13,6
2014-05-10,16,6
2014-05-17,25,6
2014-05-24,15,6
2014-05-31,13,6
2014-06-07,11,5
2014-06-14,11,5
2014-06-21,19,5
2014-06-28,12,5
2014-07-05,10,5
2014-07-12,11,6
2014-07-19,11,6
2014-07-26,10,5
2014-08-02,10,5
2014-08-09,11,5
2014-08-16,10,5
2014-08-23,13,5
2014-08-30,9,6
2014-09-06,8,5
2014-09-13,8,5
2014-09-20,8,5
2014-09-27,8,5
2014-10-04,8,5
2014-10-11,8,5
2014-10-18,8,5
2014-10-25,10,5
2014-11-01,8,5
2014-11-08,8,5
2014-11-15,8,6
2014-11-22,8,5
2014-11-29,8,5
2014-12-06,8,5
2014-12-13,8,5
2014-12-20,9,5
2014-12-27,10,6
2015-01-03,8,5
2015-01-10,7,5
2015-01-17,8,5
2015-01-24,8,5
2015-01-31,8,5
2015-02-07,8,5
2015-02-14,8,5
2015-02-21,8,5
2015-02-28,8,4
2015-03-07,7,4
2015-03-14,8,4
2015-03-21,8,4
2015-03-28,8,4
2015-04-04,8,4
2015-04-11,7,4
2015-04-18,8,4
2015-04-25,8,4
2015-05-02,7,5
2015-05-09,8,4
2015-05-16,8,5
2015-05-23,8,4
2015-05-30,8,4
2015-06-06,8,4
2015-06-13,8,4
2015-06-20,14,4
2015-06-27,9,4
2015-07-04,8,4
2015-07-11,8,4
2015-07-18,8,4
2015-07-25,8,4
2015-08-01,8,4
2015-08-08,8,4
2015-08-15,8,4
2015-08-22,9,5
2015-08-29,8,9
2015-09-05,7,5
2015-09-12,7,4
2015-09-19,7,5
2015-09-26,7,4
2015-10-03,8,4
2015-10-10,8,4
2015-10-17,8,39
2015-10-24,9,77
2015-10-31,8,59
