Week,Michael Jackson: (Worldwide),Ariana Grande: (Worldwide)
2011-09-24,38,2
2011-10-01,29,2
2011-10-08,35,3
2011-10-15,24,2
2011-10-22,23,2
2011-10-29,25,2
2011-11-05,34,2
2011-11-12,22,2
2011-11-19,21,2
2011-11-26,23,2
2011-12-03,21,2
2011-12-10,21,2
2011-12-17,21,3
2011-12-24,22,3
2011-12-31,20,3
2012-01-07,18,2
2012-01-14,18,2
2012-01-21,20,2
2012-01-28,21,2
2012-02-04,19,2
2012-02-11,26,3
2012-02-18,19,3
2012-02-25,18,2
2012-03-03,17,3
2012-03-10,15,2
2012-03-17,15,2
2012-03-24,15,2
2012-03-31,15,3
2012-04-07,15,3
2012-04-14,14,2
2012-04-21,14,3
2012-04-28,15,3
2012-05-05,15,3
2012-05-12,15,3
2012-05-19,15,3
2012-05-26,15,3
2012-06-02,16,3
2012-06-09,15,3
2012-06-16,17,3
2012-06-23,33,5
2012-06-30,17,4
2012-07-07,15,4
2012-07-14,15,5
2012-07-21,21,6
2012-07-28,16,8
2012-08-04,15,8
2012-08-11,15,6
2012-08-18,15,5
2012-08-25,22,4
2012-09-01,16,4
2012-09-08,15,4
2012-09-15,15,4
2012-09-22,14,3
2012-09-29,14,3
2012-10-06,14,3
2012-10-13,15,3
2012-10-20,16,3
2012-10-27,16,3
2012-11-03,13,3
2012-11-10,14,3
2012-11-17,16,4
2012-11-24,14,3
2012-12-01,14,3
2012-12-08,14,3
2012-12-15,13,4
2012-12-22,16,5
2012-12-29,16,7
2013-01-05,13,5
2013-01-12,13,4
2013-01-19,13,6
2013-01-26,13,5
2013-02-02,14,4
2013-02-09,14,4
2013-02-16,14,4
2013-02-23,14,4
2013-03-02,14,4
2013-03-09,13,4
2013-03-16,13,4
2013-03-23,14,11
2013-03-30,14,11
2013-04-06,14,9
2013-04-13,14,8
2013-04-20,13,8
2013-04-27,15,10
2013-05-04,15,9
2013-05-11,14,10
2013-05-18,14,10
2013-05-25,14,12
2013-06-01,19,12
2013-06-08,17,12
2013-06-15,16,14
2013-06-22,27,15
2013-06-29,18,13
2013-07-06,15,13
2013-07-13,15,13
2013-07-20,15,16
2013-07-27,14,14
2013-08-03,14,15
2013-08-10,15,14
2013-08-17,14,15
2013-08-24,21,18
2013-08-31,14,19
2013-09-07,13,18
2013-09-14,13,13
2013-09-21,13,13
2013-09-28,15,12
2013-10-05,13,14
2013-10-12,13,12
2013-10-19,15,11
2013-10-26,17,11
2013-11-02,13,12
2013-11-09,13,13
2013-11-16,13,11
2013-11-23,14,20
2013-11-30,13,13
2013-12-07,13,13
2013-12-14,13,12
2013-12-21,15,15
2013-12-28,21,19
2014-01-04,14,12
2014-01-11,13,11
2014-01-18,13,12
2014-01-25,13,15
2014-02-01,13,10
2014-02-08,13,9
2014-02-15,13,10
2014-02-22,13,9
2014-03-01,15,9
2014-03-08,13,9
2014-03-15,12,9
2014-03-22,13,9
2014-03-29,15,11
2014-04-05,14,10
2014-04-12,23,10
2014-04-19,21,11
2014-04-26,19,30
2014-05-03,20,23
2014-05-10,25,20
2014-05-17,40,24
2014-05-24,23,23
2014-05-31,20,23
2014-06-07,18,21
2014-06-14,17,21
2014-06-21,30,25
2014-06-28,19,32
2014-07-05,17,29
2014-07-12,17,27
2014-07-19,17,29
2014-07-26,16,29
2014-08-02,17,28
2014-08-09,18,43
2014-08-16,16,38
2014-08-23,20,66
2014-08-30,14,100
2014-09-06,13,47
2014-09-13,13,42
2014-09-20,13,38
2014-09-27,13,36
2014-10-04,13,32
2014-10-11,13,30
2014-10-18,13,29
2014-10-25,15,27
2014-11-01,13,33
2014-11-08,13,38
2014-11-15,13,32
2014-11-22,12,40
2014-11-29,12,39
2014-12-06,12,39
2014-12-13,13,36
2014-12-20,14,40
2014-12-27,15,40
2015-01-03,12,31
2015-01-10,12,27
2015-01-17,12,26
2015-01-24,12,24
2015-01-31,13,25
2015-02-07,13,31
2015-02-14,12,36
2015-02-21,12,27
2015-02-28,12,25
2015-03-07,12,24
2015-03-14,12,24
2015-03-21,12,28
2015-03-28,12,30
2015-04-04,13,32
2015-04-11,12,26
2015-04-18,12,31
2015-04-25,12,23
2015-05-02,12,21
2015-05-09,12,22
2015-05-16,12,23
2015-05-23,13,22
2015-05-30,13,22
2015-06-06,12,23
2015-06-13,13,20
2015-06-20,23,22
2015-06-27,15,20
2015-07-04,13,46
2015-07-11,13,25
2015-07-18,12,19
2015-07-25,13,18
2015-08-01,12,18
2015-08-08,12,18
2015-08-15,12,19
2015-08-22,15,19
2015-08-29,13,18
2015-09-05,12,17
2015-09-12,11,23
2015-09-19,12,20
2015-09-26,12,16
2015-10-03,12,17
2015-10-10,12,19
2015-10-17,13,17
2015-10-24,15,24
2015-10-31,13,27
2015-11-07,12,21
2015-11-14,12,20
2015-11-21,12,25
2015-11-28,12,20
2015-12-05,12,20
2015-12-12,12,22
2015-12-19,13,25
2015-12-26,14,24
2016-01-02,12,19
2016-01-09,13,17
2016-01-16,12,18
2016-01-23,14,16
2016-01-30,13,15
2016-02-06,16,15
2016-02-13,13,16
2016-02-20,13,14
2016-02-27,13,13
2016-03-05,12,15
2016-03-12,12,36
2016-03-19,12,21
2016-03-26,12,19
2016-04-02,12,18
2016-04-09,12,17
2016-04-16,23,18
