Week,Michael Jackson: (Worldwide),Bruno Mars: (Worldwide)
2011-09-24,46,30
2011-10-01,34,28
2011-10-08,42,26
2011-10-15,28,25
2011-10-22,28,28
2011-10-29,30,25
2011-11-05,41,30
2011-11-12,27,30
2011-11-19,25,34
2011-11-26,28,30
2011-12-03,25,28
2011-12-10,25,26
2011-12-17,25,26
2011-12-24,26,27
2011-12-31,23,25
2012-01-07,22,23
2012-01-14,22,24
2012-01-21,23,26
2012-01-28,24,23
2012-02-04,23,22
2012-02-11,30,38
2012-02-18,23,24
2012-02-25,21,20
2012-03-03,20,19
2012-03-10,18,18
2012-03-17,18,17
2012-03-24,18,15
2012-03-31,18,17
2012-04-07,18,15
2012-04-14,17,14
2012-04-21,17,13
2012-04-28,18,13
2012-05-05,18,12
2012-05-12,18,12
2012-05-19,18,12
2012-05-26,18,13
2012-06-02,19,12
2012-06-09,18,12
2012-06-16,20,11
2012-06-23,40,11
2012-06-30,20,11
2012-07-07,18,10
2012-07-14,18,10
2012-07-21,24,10
2012-07-28,19,9
2012-08-04,18,9
2012-08-11,18,9
2012-08-18,18,9
2012-08-25,26,9
2012-09-01,19,8
2012-09-08,18,9
2012-09-15,18,9
2012-09-22,17,9
2012-09-29,17,11
2012-10-06,16,11
2012-10-13,17,11
2012-10-20,19,23
2012-10-27,18,15
2012-11-03,16,16
2012-11-10,16,15
2012-11-17,19,17
2012-11-24,17,18
2012-12-01,17,23
2012-12-08,16,28
2012-12-15,16,28
2012-12-22,19,29
2012-12-29,19,25
2013-01-05,15,22
2013-01-12,15,22
2013-01-19,16,25
2013-01-26,16,24
2013-02-02,17,25
2013-02-09,16,38
2013-02-16,17,31
2013-02-23,16,35
2013-03-02,16,34
2013-03-09,15,30
2013-03-16,15,29
2013-03-23,16,28
2013-03-30,17,26
2013-04-06,16,27
2013-04-13,16,24
2013-04-20,16,24
2013-04-27,17,24
2013-05-04,18,24
2013-05-11,17,24
2013-05-18,17,25
2013-05-25,16,25
2013-06-01,23,32
2013-06-08,20,24
2013-06-15,19,27
2013-06-22,32,25
2013-06-29,21,25
2013-07-06,18,24
2013-07-13,17,23
2013-07-20,17,23
2013-07-27,17,23
2013-08-03,16,22
2013-08-10,17,24
2013-08-17,17,22
2013-08-24,25,41
2013-08-31,17,24
2013-09-07,16,25
2013-09-14,16,21
2013-09-21,16,21
2013-09-28,18,21
2013-10-05,16,22
2013-10-12,16,25
2013-10-19,18,21
2013-10-26,20,21
2013-11-02,16,22
2013-11-09,15,23
2013-11-16,15,20
2013-11-23,16,18
2013-11-30,16,18
2013-12-07,15,18
2013-12-14,15,17
2013-12-21,18,18
2013-12-28,24,18
2014-01-04,17,17
2014-01-11,15,18
2014-01-18,15,18
2014-01-25,15,28
2014-02-01,15,100
2014-02-08,15,23
2014-02-15,15,21
2014-02-22,15,18
2014-03-01,17,18
2014-03-08,16,17
2014-03-15,14,17
2014-03-22,15,17
2014-03-29,18,15
2014-04-05,16,15
2014-04-12,27,15
2014-04-19,25,15
2014-04-26,22,14
2014-05-03,24,13
2014-05-10,30,13
2014-05-17,48,13
2014-05-24,28,13
2014-05-31,24,13
2014-06-07,21,12
2014-06-14,20,12
2014-06-21,35,12
2014-06-28,22,13
2014-07-05,20,12
2014-07-12,20,12
2014-07-19,20,12
