Week,Michael Jackson: (Worldwide),Christina Perri: (Worldwide)
2011-09-24,95,6
2011-10-01,72,6
2011-10-08,87,7
2011-10-15,59,8
2011-10-22,58,9
2011-10-29,63,11
2011-11-05,85,10
2011-11-12,55,12
2011-11-19,53,14
2011-11-26,57,13
2011-12-03,52,11
2011-12-10,53,11
2011-12-17,51,12
2011-12-24,54,11
2011-12-31,49,10
2012-01-07,45,10
2012-01-14,45,10
2012-01-21,49,10
2012-01-28,51,10
2012-02-04,47,9
2012-02-11,64,11
2012-02-18,48,11
2012-02-25,43,8
2012-03-03,42,7
2012-03-10,38,7
2012-03-17,38,7
2012-03-24,38,6
2012-03-31,37,6
2012-04-07,37,7
2012-04-14,36,7
2012-04-21,36,6
2012-04-28,38,6
2012-05-05,37,5
2012-05-12,37,5
2012-05-19,37,5
2012-05-26,38,5
2012-06-02,39,7
2012-06-09,38,7
2012-06-16,41,6
2012-06-23,83,6
2012-06-30,42,6
2012-07-07,38,5
2012-07-14,38,5
2012-07-21,51,5
2012-07-28,40,5
2012-08-04,38,5
2012-08-11,38,5
2012-08-18,38,5
2012-08-25,54,5
2012-09-01,40,5
2012-09-08,37,5
2012-09-15,38,4
2012-09-22,35,4
2012-09-29,35,4
2012-10-06,34,4
2012-10-13,36,4
2012-10-20,39,4
2012-10-27,38,3
2012-11-03,33,4
2012-11-10,34,6
2012-11-17,40,12
2012-11-24,35,11
2012-12-01,35,10
2012-12-08,34,9
2012-12-15,33,8
2012-12-22,40,7
2012-12-29,40,7
2013-01-05,32,6
2013-01-12,32,6
2013-01-19,32,6
2013-01-26,32,7
2013-02-02,35,6
2013-02-09,34,6
2013-02-16,36,6
2013-02-23,34,6
2013-03-02,34,6
2013-03-09,32,6
2013-03-16,32,6
2013-03-23,33,6
2013-03-30,36,5
2013-04-06,34,5
2013-04-13,34,5
2013-04-20,33,5
2013-04-27,37,5
2013-05-04,38,5
2013-05-11,36,5
2013-05-18,35,5
2013-05-25,34,5
2013-06-01,48,4
2013-06-08,41,4
2013-06-15,40,4
2013-06-22,66,4
2013-06-29,44,4
2013-07-06,37,4
2013-07-13,36,4
2013-07-20,36,4
2013-07-27,35,4
2013-08-03,34,4
2013-08-10,36,4
2013-08-17,36,4
2013-08-24,52,4
2013-08-31,35,4
2013-09-07,33,3
2013-09-14,32,4
2013-09-21,33,4
2013-09-28,37,4
2013-10-05,33,4
2013-10-12,33,3
2013-10-19,38,3
2013-10-26,42,4
2013-11-02,33,4
2013-11-09,31,5
2013-11-16,31,5
2013-11-23,34,5
2013-11-30,33,4
2013-12-07,31,5
2013-12-14,32,5
2013-12-21,38,5
2013-12-28,51,6
2014-01-04,36,6
2014-01-11,31,5
2014-01-18,32,5
2014-01-25,31,5
2014-02-01,32,5
2014-02-08,31,6
2014-02-15,32,6
2014-02-22,31,6
2014-03-01,36,6
2014-03-08,33,6
2014-03-15,30,6
2014-03-22,31,7
2014-03-29,37,9
2014-04-05,34,8
2014-04-12,57,8
2014-04-19,51,8
2014-04-26,46,7
2014-05-03,50,7
2014-05-10,63,7
2014-05-17,100,7
2014-05-24,57,6
2014-05-31,50,6
2014-06-07,44,5
2014-06-14,42,5
2014-06-21,73,5
2014-06-28,46,5
2014-07-05,41,5
2014-07-12,42,5
2014-07-19,42,5
2014-07-26,40,5
2014-08-02,41,6
2014-08-09,44,5
2014-08-16,39,5
2014-08-23,50,5
2014-08-30,35,5
2014-09-06,33,5
2014-09-13,33,5
2014-09-20,33,4
2014-09-27,32,5
2014-10-04,32,5
2014-10-11,32,4
2014-10-18,33,4
2014-10-25,38,4
2014-11-01,33,4
2014-11-08,32,4
2014-11-15,33,4
2014-11-22,31,5
2014-11-29,31,4
2014-12-06,31,4
2014-12-13,32,5
2014-12-20,34,4
2014-12-27,38,4
2015-01-03,31,4
2015-01-10,30,4
2015-01-17,30,4
2015-01-24,30,5
2015-01-31,31,4
2015-02-07,33,4
2015-02-14,30,4
2015-02-21,30,4
2015-02-28,30,6
2015-03-07,29,6
2015-03-14,30,4
2015-03-21,30,4
2015-03-28,31,4
2015-04-04,31,4
2015-04-11,29,4
2015-04-18,30,4
2015-04-25,30,4
2015-05-02,29,4
2015-05-09,31,4
2015-05-16,30,4
2015-05-23,32,4
2015-05-30,33,3
2015-06-06,31,3
2015-06-13,31,3
2015-06-20,57,3
2015-06-27,36,3
2015-07-04,32,3
2015-07-11,32,4
2015-07-18,31,3
2015-07-25,33,3
2015-08-01,31,3
2015-08-08,31,3
2015-08-15,30,3
2015-08-22,37,3
2015-08-29,33,3
2015-09-05,29,3
2015-09-12,28,3
2015-09-19,29,3
2015-09-26,30,3
2015-10-03,31,3
2015-10-10,31,3
2015-10-17,33,3
2015-10-24,36,3
2015-10-31,31,3
2015-11-07,30,3
2015-11-14,29,3
2015-11-21,30,3
2015-11-28,30,2
2015-12-05,29,2
2015-12-12,30,2
2015-12-19,33,3
2015-12-26,34,2
2016-01-02,30,2
2016-01-09,33,2
2016-01-16,31,2
2016-01-23,35,2
2016-01-30,33,3
2016-02-06,39,2
2016-02-13,32,2
2016-02-20,32,2
2016-02-27,31,2
2016-03-05,29,2
2016-03-12,31,2
2016-03-19,30,2
2016-03-26,30,2
2016-04-02,31,2
2016-04-09,30,2
2016-04-16,57,2
2016-04-23,42,2
2016-04-30,33,2
2016-05-07,29,2
2016-05-14,30,2
2016-05-21,31,2
2016-05-28,32,2
2016-06-04,29,3
2016-06-11,28,3
2016-06-18,62,2
2016-06-25,41,2
2016-07-02,31,2
2016-07-09,28,2
2016-07-16,29,2
2016-07-23,29,2
2016-07-30,28,2
2016-08-06,26,2
2016-08-13,26,2
2016-08-20,27,2
2016-08-27,40,2
2016-09-03,33,2
2016-09-10,29,2
2016-09-17,42,3
