Week,Michael Jackson: (Worldwide),Demi Lovato: (Worldwide)
2011-09-24,95,39
2011-10-01,72,31
2011-10-08,87,31
2011-10-15,59,27
2011-10-22,58,28
2011-10-29,63,28
2011-11-05,85,33
2011-11-12,55,28
2011-11-19,53,25
2011-11-26,57,23
2011-12-03,52,26
2011-12-10,53,22
2011-12-17,51,23
2011-12-24,54,29
2011-12-31,49,28
2012-01-07,45,28
2012-01-14,45,26
2012-01-21,49,26
2012-01-28,51,23
2012-02-04,47,26
2012-02-11,64,24
2012-02-18,48,23
2012-02-25,43,21
2012-03-03,42,32
2012-03-10,38,27
2012-03-17,38,24
2012-03-24,38,22
2012-03-31,37,34
2012-04-07,37,31
2012-04-14,36,33
2012-04-21,36,33
2012-04-28,38,29
2012-05-05,37,24
2012-05-12,37,28
2012-05-19,37,26
2012-05-26,38,24
2012-06-02,39,26
2012-06-09,38,27
2012-06-16,41,31
2012-06-23,83,29
2012-06-30,42,30
2012-07-07,38,33
2012-07-14,38,32
2012-07-21,51,36
2012-07-28,40,29
2012-08-04,38,27
2012-08-11,38,29
2012-08-18,38,35
2012-08-25,54,26
2012-09-01,40,32
2012-09-08,37,60
2012-09-15,38,43
2012-09-22,35,41
2012-09-29,35,35
2012-10-06,34,34
2012-10-13,36,28
2012-10-20,39,27
2012-10-27,38,33
2012-11-03,33,30
2012-11-10,34,28
2012-11-17,40,26
2012-11-24,35,26
2012-12-01,35,26
2012-12-08,34,25
2012-12-15,33,29
2012-12-22,40,30
2012-12-29,40,28
2013-01-05,32,25
2013-01-12,32,22
2013-01-19,32,22
2013-01-26,32,21
2013-02-02,35,21
2013-02-09,34,23
2013-02-16,36,21
2013-02-23,34,35
2013-03-02,34,31
2013-03-09,32,28
2013-03-16,32,27
2013-03-23,33,28
2013-03-30,36,31
2013-04-06,34,42
2013-04-13,34,37
2013-04-20,33,33
2013-04-27,37,34
2013-05-04,38,49
2013-05-11,36,50
2013-05-18,35,42
2013-05-25,34,42
2013-06-01,48,37
2013-06-08,41,36
2013-06-15,40,38
2013-06-22,66,51
2013-06-29,44,40
2013-07-06,37,36
2013-07-13,36,44
2013-07-20,36,39
2013-07-27,35,35
2013-08-03,34,33
2013-08-10,36,37
2013-08-17,36,52
2013-08-24,52,42
2013-08-31,35,34
2013-09-07,33,34
2013-09-14,32,33
2013-09-21,33,34
2013-09-28,37,44
2013-10-05,33,39
2013-10-12,33,36
2013-10-19,38,31
2013-10-26,42,32
2013-11-02,33,33
2013-11-09,31,32
2013-11-16,31,38
2013-11-23,34,36
2013-11-30,33,39
2013-12-07,31,44
2013-12-14,32,43
2013-12-21,38,44
2013-12-28,51,44
2014-01-04,36,37
2014-01-11,31,36
2014-01-18,32,38
2014-01-25,31,38
2014-02-01,32,37
2014-02-08,31,36
2014-02-15,32,33
2014-02-22,31,34
2014-03-01,36,40
2014-03-08,33,35
2014-03-15,30,33
2014-03-22,31,34
2014-03-29,37,32
2014-04-05,34,72
2014-04-12,57,41
2014-04-19,51,39
2014-04-26,46,39
2014-05-03,50,36
2014-05-10,63,32
2014-05-17,100,31
2014-05-24,57,32
2014-05-31,50,33
2014-06-07,44,30
2014-06-14,42,31
2014-06-21,73,34
2014-06-28,46,37
2014-07-05,41,35
2014-07-12,42,29
2014-07-19,42,29
