Week,Michael Jackson: (Worldwide),Drake: (Worldwide)
2011-09-24,41,28
2011-10-01,31,30
2011-10-08,38,31
2011-10-15,25,37
2011-10-22,25,39
2011-10-29,27,38
2011-11-05,37,76
2011-11-12,24,73
2011-11-19,23,55
2011-11-26,25,50
2011-12-03,23,45
2011-12-10,23,49
2011-12-17,22,48
2011-12-24,23,48
2011-12-31,21,43
2012-01-07,20,49
2012-01-14,20,41
2012-01-21,21,39
2012-01-28,22,38
2012-02-04,20,35
2012-02-11,28,35
2012-02-18,21,33
2012-02-25,19,32
2012-03-03,18,30
2012-03-10,16,29
2012-03-17,17,32
2012-03-24,17,33
2012-03-31,16,34
2012-04-07,16,35
2012-04-14,15,30
2012-04-21,16,31
2012-04-28,16,31
2012-05-05,16,30
2012-05-12,16,28
2012-05-19,16,27
2012-05-26,16,27
2012-06-02,17,28
2012-06-09,16,61
2012-06-16,18,43
2012-06-23,36,33
2012-06-30,18,32
2012-07-07,16,28
2012-07-14,17,26
2012-07-21,22,27
2012-07-28,17,27
2012-08-04,17,29
2012-08-11,16,25
2012-08-18,17,24
2012-08-25,23,22
2012-09-01,17,25
2012-09-08,16,26
2012-09-15,17,23
2012-09-22,15,22
2012-09-29,15,21
2012-10-06,15,20
2012-10-13,16,21
2012-10-20,17,21
2012-10-27,17,19
2012-11-03,14,19
2012-11-10,15,19
2012-11-17,17,20
2012-11-24,15,20
2012-12-01,15,19
2012-12-08,15,19
2012-12-15,14,19
2012-12-22,17,21
2012-12-29,17,21
2013-01-05,14,18
2013-01-12,14,18
2013-01-19,14,18
2013-01-26,14,20
2013-02-02,15,23
2013-02-09,15,27
2013-02-16,16,26
2013-02-23,15,24
2013-03-02,15,26
2013-03-09,14,23
2013-03-16,14,23
2013-03-23,15,23
2013-03-30,15,22
2013-04-06,15,22
2013-04-13,15,29
2013-04-20,14,26
2013-04-27,16,24
2013-05-04,17,22
2013-05-11,15,20
2013-05-18,15,29
2013-05-25,15,21
2013-06-01,21,19
2013-06-08,18,19
2013-06-15,17,25
2013-06-22,29,28
2013-06-29,19,25
2013-07-06,16,24
2013-07-13,16,22
2013-07-20,16,22
2013-07-27,15,26
2013-08-03,15,31
2013-08-10,16,28
2013-08-17,16,27
2013-08-24,23,34
2013-08-31,15,28
2013-09-07,14,31
2013-09-14,14,67
2013-09-21,14,58
2013-09-28,16,44
2013-10-05,14,38
2013-10-12,14,38
2013-10-19,17,34
2013-10-26,18,36
2013-11-02,14,33
2013-11-09,14,35
2013-11-16,14,32
2013-11-23,15,30
2013-11-30,14,30
2013-12-07,13,29
2013-12-14,14,30
2013-12-21,17,30
2013-12-28,22,33
2014-01-04,15,28
2014-01-11,14,29
2014-01-18,14,35
2014-01-25,13,31
2014-02-01,14,25
2014-02-08,14,26
2014-02-15,14,26
2014-02-22,14,27
2014-03-01,16,27
2014-03-08,14,25
2014-03-15,13,27
2014-03-22,13,27
2014-03-29,16,31
2014-04-05,15,29
2014-04-12,25,27
2014-04-19,22,26
2014-04-26,20,25
2014-05-03,22,25
2014-05-10,27,23
2014-05-17,43,22
2014-05-24,25,20
2014-05-31,22,29
2014-06-07,19,24
2014-06-14,18,24
2014-06-21,32,22
2014-06-28,20,22
2014-07-05,18,22
2014-07-12,18,29
2014-07-19,18,24
2014-07-26,17,22
2014-08-02,18,24
2014-08-09,19,26
2014-08-16,17,27
2014-08-23,21,27
2014-08-30,15,22
2014-09-06,14,21
2014-09-13,14,20
2014-09-20,14,20
2014-09-27,14,20
2014-10-04,14,21
2014-10-11,14,19
2014-10-18,14,27
2014-10-25,16,29
2014-11-01,14,24
2014-11-08,14,22
2014-11-15,14,21
2014-11-22,13,21
2014-11-29,13,21
2014-12-06,13,39
2014-12-13,14,24
2014-12-20,15,23
2014-12-27,16,23
2015-01-03,13,22
2015-01-10,13,20
2015-01-17,13,19
2015-01-24,13,20
2015-01-31,14,20
2015-02-07,14,44
2015-02-14,13,43
2015-02-21,13,32
2015-02-28,13,29
2015-03-07,13,26
2015-03-14,13,25
2015-03-21,13,23
2015-03-28,13,22
2015-04-04,14,23
2015-04-11,12,49
2015-04-18,13,24
2015-04-25,13,21
2015-05-02,13,21
2015-05-09,13,20
2015-05-16,13,23
2015-05-23,14,22
2015-05-30,14,27
2015-06-06,13,21
2015-06-13,14,20
2015-06-20,25,21
2015-06-27,16,23
2015-07-04,14,25
2015-07-11,14,27
2015-07-18,13,42
2015-07-25,14,100
2015-08-01,13,58
2015-08-08,13,39
2015-08-15,13,30
2015-08-22,16,34
2015-08-29,14,28
2015-09-05,13,35
2015-09-12,12,33
2015-09-19,13,60
2015-09-26,13,35
2015-10-03,13,36
2015-10-10,13,33
2015-10-17,14,62
2015-10-24,16,48
2015-10-31,14,37
2015-11-07,13,34
2015-11-14,13,30
2015-11-21,13,33
2015-11-28,13,32
2015-12-05,13,31
2015-12-12,13,31
2015-12-19,14,33
2015-12-26,15,31
2016-01-02,13,30
2016-01-09,14,28
2016-01-16,13,29
2016-01-23,15,36
2016-01-30,14,48
2016-02-06,17,33
2016-02-13,14,30
2016-02-20,14,36
2016-02-27,14,28
2016-03-05,13,25
2016-03-12,13,27
2016-03-19,13,27
2016-03-26,13,33
2016-04-02,13,45
2016-04-09,13,40
2016-04-16,25,38
2016-04-23,18,98
2016-04-30,14,82
2016-05-07,13,59
2016-05-14,13,57
2016-05-21,13,48
2016-05-28,14,42
2016-06-04,13,45
2016-06-11,12,39
