Week,Michael Jackson: (Worldwide),Ed Sheeran: (Worldwide)
2011-09-24,95,10
2011-10-01,72,10
2011-10-08,87,11
2011-10-15,59,14
2011-10-22,58,14
2011-10-29,63,14
2011-11-05,85,14
2011-11-12,55,16
2011-11-19,53,14
2011-11-26,57,13
2011-12-03,52,12
2011-12-10,53,11
2011-12-17,51,10
2011-12-24,54,10
2011-12-31,49,10
2012-01-07,45,12
2012-01-14,45,12
2012-01-21,49,19
2012-01-28,51,14
2012-02-04,47,16
2012-02-11,64,16
2012-02-18,48,24
2012-02-25,43,18
2012-03-03,42,15
2012-03-10,38,14
2012-03-17,38,13
2012-03-24,38,13
2012-03-31,37,13
2012-04-07,37,12
2012-04-14,36,14
2012-04-21,36,14
2012-04-28,38,15
2012-05-05,37,13
2012-05-12,37,13
2012-05-19,37,12
2012-05-26,38,13
2012-06-02,39,18
2012-06-09,38,17
2012-06-16,41,17
2012-06-23,83,15
2012-06-30,42,14
2012-07-07,38,13
2012-07-14,38,12
2012-07-21,51,12
2012-07-28,40,13
2012-08-04,38,13
2012-08-11,38,23
2012-08-18,38,15
2012-08-25,54,14
2012-09-01,40,15
2012-09-08,37,14
2012-09-15,38,15
2012-09-22,35,16
2012-09-29,35,15
2012-10-06,34,13
2012-10-13,36,16
2012-10-20,39,17
2012-10-27,38,19
2012-11-03,33,17
2012-11-10,34,24
2012-11-17,40,19
2012-11-24,35,20
2012-12-01,35,23
2012-12-08,34,22
2012-12-15,33,19
2012-12-22,40,22
2012-12-29,40,24
2013-01-05,32,21
2013-01-12,32,21
2013-01-19,32,20
2013-01-26,32,20
2013-02-02,35,19
2013-02-09,34,29
2013-02-16,36,22
2013-02-23,34,21
2013-03-02,34,20
2013-03-09,32,18
2013-03-16,32,16
2013-03-23,33,17
2013-03-30,36,15
2013-04-06,34,15
2013-04-13,34,14
2013-04-20,33,13
2013-04-27,37,14
2013-05-04,38,13
2013-05-11,36,13
2013-05-18,35,16
2013-05-25,34,13
2013-06-01,48,18
2013-06-08,41,21
2013-06-15,40,22
2013-06-22,66,17
2013-06-29,44,15
2013-07-06,37,16
2013-07-13,36,13
2013-07-20,36,12
2013-07-27,35,13
2013-08-03,34,12
2013-08-10,36,13
2013-08-17,36,13
2013-08-24,52,15
2013-08-31,35,12
2013-09-07,33,11
2013-09-14,32,11
2013-09-21,33,10
2013-09-28,37,10
2013-10-05,33,12
2013-10-12,33,15
2013-10-19,38,12
2013-10-26,42,12
2013-11-02,33,15
2013-11-09,31,12
2013-11-16,31,11
2013-11-23,34,10
2013-11-30,33,10
2013-12-07,31,12
2013-12-14,32,15
2013-12-21,38,15
2013-12-28,51,16
2014-01-04,36,19
2014-01-11,31,15
2014-01-18,32,14
2014-01-25,31,16
2014-02-01,32,14
2014-02-08,31,15
2014-02-15,32,15
2014-02-22,31,12
2014-03-01,36,12
2014-03-08,33,11
2014-03-15,30,11
2014-03-22,31,12
2014-03-29,37,16
2014-04-05,34,21
2014-04-12,57,25
2014-04-19,51,19
2014-04-26,46,21
2014-05-03,50,21
2014-05-10,63,23
2014-05-17,100,28
2014-05-24,57,26
2014-05-31,50,26
2014-06-07,44,30
2014-06-14,42,38
2014-06-21,73,48
2014-06-28,46,43
2014-07-05,41,35
2014-07-12,42,31
2014-07-19,42,29
2014-07-26,40,27
2014-08-02,41,27
2014-08-09,44,26
2014-08-16,39,27
2014-08-23,50,32
2014-08-30,35,27
2014-09-06,33,29
2014-09-13,33,30
2014-09-20,33,29
2014-09-27,32,32
2014-10-04,32,38
2014-10-11,32,38
2014-10-18,33,35
2014-10-25,38,42
2014-11-01,33,41
2014-11-08,32,41
2014-11-15,33,42
2014-11-22,31,46
2014-11-29,31,49
2014-12-06,31,60
2014-12-13,32,60
2014-12-20,34,54
2014-12-27,38,56
2015-01-03,31,50
2015-01-10,30,51
2015-01-17,30,50
2015-01-24,30,58
2015-01-31,31,50
2015-02-07,33,82
2015-02-14,30,67
2015-02-21,30,72
2015-02-28,30,53
2015-03-07,29,47
2015-03-14,30,43
2015-03-21,30,45
2015-03-28,31,44
2015-04-04,31,41
2015-04-11,29,38
2015-04-18,30,39
2015-04-25,30,40
2015-05-02,29,37
2015-05-09,31,43
2015-05-16,30,44
2015-05-23,32,40
2015-05-30,33,42
2015-06-06,31,39
2015-06-13,31,45
2015-06-20,57,39
2015-06-27,36,37
2015-07-04,32,40
2015-07-11,32,38
2015-07-18,31,39
2015-07-25,33,34
2015-08-01,31,33
2015-08-08,31,44
2015-08-15,30,37
2015-08-22,37,35
2015-08-29,33,33
2015-09-05,29,31
2015-09-12,28,31
2015-09-19,29,32
2015-09-26,30,32
2015-10-03,31,30
2015-10-10,31,29
2015-10-17,33,31
2015-10-24,36,32
2015-10-31,31,28
2015-11-07,30,29
2015-11-14,29,28
2015-11-21,30,30
2015-11-28,30,27
2015-12-05,29,29
2015-12-12,30,26
2015-12-19,33,25
2015-12-26,34,26
2016-01-02,30,22
2016-01-09,33,21
2016-01-16,31,21
2016-01-23,35,20
2016-01-30,33,20
2016-02-06,39,20
2016-02-13,32,30
2016-02-20,32,20
2016-02-27,31,18
2016-03-05,29,18
2016-03-12,31,17
2016-03-19,30,17
2016-03-26,30,17
2016-04-02,31,16
2016-04-09,30,15
2016-04-16,57,15
2016-04-23,42,15
2016-04-30,33,14
2016-05-07,29,14
2016-05-14,30,14
2016-05-21,31,14
2016-05-28,32,14
2016-06-04,29,24
2016-06-11,28,15
2016-06-18,62,14
2016-06-25,41,14
2016-07-02,31,15
2016-07-09,28,14
2016-07-16,29,14
2016-07-23,29,14
2016-07-30,28,13
2016-08-06,26,14
2016-08-13,26,12
2016-08-20,27,12
2016-08-27,40,12
2016-09-03,33,12
2016-09-10,29,12
2016-09-17,42,19
