Week,Michael Jackson: (Worldwide),Eminem: (Worldwide)
2011-09-24,60,43
2011-10-01,45,42
2011-10-08,55,45
2011-10-15,37,47
2011-10-22,37,40
2011-10-29,40,39
2011-11-05,54,40
2011-11-12,35,38
2011-11-19,33,38
2011-11-26,36,41
2011-12-03,33,40
2011-12-10,33,36
2011-12-17,32,36
2011-12-24,34,37
2011-12-31,31,34
2012-01-07,28,34
2012-01-14,29,34
2012-01-21,31,33
2012-01-28,32,32
2012-02-04,30,33
2012-02-11,40,32
2012-02-18,30,31
2012-02-25,28,31
2012-03-03,27,29
2012-03-10,24,30
2012-03-17,24,30
2012-03-24,24,29
2012-03-31,24,29
2012-04-07,24,29
2012-04-14,23,28
2012-04-21,23,27
2012-04-28,24,32
2012-05-05,23,29
2012-05-12,23,28
2012-05-19,24,29
2012-05-26,24,29
2012-06-02,25,28
2012-06-09,24,27
2012-06-16,26,29
2012-06-23,52,28
2012-06-30,27,29
2012-07-07,24,29
2012-07-14,24,28
2012-07-21,32,28
2012-07-28,25,28
2012-08-04,24,28
2012-08-11,24,29
2012-08-18,24,30
2012-08-25,34,27
2012-09-01,25,27
2012-09-08,23,29
2012-09-15,24,27
2012-09-22,22,26
2012-09-29,22,26
2012-10-06,22,25
2012-10-13,23,35
2012-10-20,25,27
2012-10-27,24,26
2012-11-03,21,25
2012-11-10,22,25
2012-11-17,25,25
2012-11-24,22,30
2012-12-01,22,29
2012-12-08,21,30
2012-12-15,21,28
2012-12-22,25,29
2012-12-29,25,29
2013-01-05,20,27
2013-01-12,20,28
2013-01-19,21,27
2013-01-26,21,29
2013-02-02,22,27
2013-02-09,22,28
2013-02-16,23,26
2013-02-23,21,25
2013-03-02,21,25
2013-03-09,20,24
2013-03-16,20,26
2013-03-23,21,26
2013-03-30,23,25
2013-04-06,21,25
2013-04-13,21,25
2013-04-20,21,25
2013-04-27,23,25
2013-05-04,24,28
2013-05-11,23,45
2013-05-18,22,28
2013-05-25,22,27
2013-06-01,31,26
2013-06-08,26,26
2013-06-15,25,27
2013-06-22,42,28
2013-06-29,28,30
2013-07-06,23,27
2013-07-13,23,26
2013-07-20,23,27
2013-07-27,22,27
2013-08-03,22,27
2013-08-10,23,39
2013-08-17,23,54
2013-08-24,33,64
2013-08-31,22,41
2013-09-07,21,58
2013-09-14,21,39
2013-09-21,21,36
2013-09-28,23,33
2013-10-05,21,45
2013-10-12,21,64
2013-10-19,24,49
2013-10-26,26,76
2013-11-02,21,100
2013-11-09,20,90
2013-11-16,20,71
2013-11-23,22,61
2013-11-30,21,55
2013-12-07,20,52
2013-12-14,20,58
2013-12-21,24,56
2013-12-28,32,50
2014-01-04,23,45
2014-01-11,20,42
2014-01-18,20,41
2014-01-25,20,42
2014-02-01,20,38
2014-02-08,20,37
2014-02-15,20,41
2014-02-22,20,39
