Week,Michael Jackson: (Worldwide),Jennifer Lopez: (Worldwide)
2011-09-24,95,47
2011-10-01,72,43
2011-10-08,87,39
2011-10-15,59,38
2011-10-22,58,42
2011-10-29,63,36
2011-11-05,85,38
2011-11-12,55,37
2011-11-19,53,58
2011-11-26,57,40
2011-12-03,52,35
2011-12-10,53,33
2011-12-17,51,35
2011-12-24,54,43
2011-12-31,49,36
2012-01-07,45,32
2012-01-14,45,33
2012-01-21,49,35
2012-01-28,51,32
2012-02-04,47,31
2012-02-11,64,32
2012-02-18,48,33
2012-02-25,43,80
2012-03-03,42,35
2012-03-10,38,34
2012-03-17,38,28
2012-03-24,38,30
2012-03-31,37,41
2012-04-07,37,47
2012-04-14,36,38
2012-04-21,36,35
2012-04-28,38,40
2012-05-05,37,44
2012-05-12,37,46
2012-05-19,37,47
2012-05-26,38,41
2012-06-02,39,38
2012-06-09,38,38
2012-06-16,41,46
2012-06-23,83,40
2012-06-30,42,35
2012-07-07,38,35
2012-07-14,38,35
2012-07-21,51,39
2012-07-28,40,36
2012-08-04,38,34
2012-08-11,38,34
2012-08-18,38,35
2012-08-25,54,32
2012-09-01,40,31
2012-09-08,37,30
2012-09-15,38,29
2012-09-22,35,29
2012-09-29,35,32
2012-10-06,34,32
2012-10-13,36,29
2012-10-20,39,26
2012-10-27,38,25
2012-11-03,33,23
2012-11-10,34,25
2012-11-17,40,26
2012-11-24,35,23
2012-12-01,35,21
2012-12-08,34,28
2012-12-15,33,21
2012-12-22,40,26
2012-12-29,40,25
2013-01-05,32,21
2013-01-12,32,28
2013-01-19,32,26
2013-01-26,32,23
2013-02-02,35,21
2013-02-09,34,28
2013-02-16,36,19
2013-02-23,34,21
2013-03-02,34,18
2013-03-09,32,18
2013-03-16,32,17
2013-03-23,33,18
2013-03-30,36,17
2013-04-06,34,16
2013-04-13,34,17
2013-04-20,33,17
2013-04-27,37,18
2013-05-04,38,22
2013-05-11,36,23
2013-05-18,35,29
2013-05-25,34,34
2013-06-01,48,25
2013-06-08,41,23
2013-06-15,40,23
2013-06-22,66,21
2013-06-29,44,23
2013-07-06,37,21
2013-07-13,36,24
2013-07-20,36,22
2013-07-27,35,20
2013-08-03,34,20
2013-08-10,36,18
2013-08-17,36,19
2013-08-24,52,18
2013-08-31,35,18
2013-09-07,33,17
2013-09-14,32,17
2013-09-21,33,16
2013-09-28,37,15
2013-10-05,33,15
2013-10-12,33,16
2013-10-19,38,15
2013-10-26,42,15
2013-11-02,33,15
2013-11-09,31,15
2013-11-16,31,15
2013-11-23,34,26
2013-11-30,33,17
2013-12-07,31,16
2013-12-14,32,15
2013-12-21,38,17
2013-12-28,51,20
2014-01-04,36,17
2014-01-11,31,21
2014-01-18,32,20
2014-01-25,31,19
2014-02-01,32,18
2014-02-08,31,18
2014-02-15,32,18
2014-02-22,31,16
2014-03-01,36,21
2014-03-08,33,23
2014-03-15,30,25
2014-03-22,31,21
2014-03-29,37,20
2014-04-05,34,20
2014-04-12,57,21
2014-04-19,51,24
2014-04-26,46,25
2014-05-03,50,22
2014-05-10,63,22
2014-05-17,100,36
2014-05-24,57,26
2014-05-31,50,31
2014-06-07,44,92
2014-06-14,42,56
2014-06-21,73,35
2014-06-28,46,31
2014-07-05,41,29
2014-07-12,42,29
2014-07-19,42,27
2014-07-26,40,23
2014-08-02,41,21
2014-08-09,44,25
2014-08-16,39,22
2014-08-23,50,26
2014-08-30,35,31
2014-09-06,33,35
2014-09-13,33,35
2014-09-20,33,35
2014-09-27,32,26
2014-10-04,32,22
2014-10-11,32,21
2014-10-18,33,19
2014-10-25,38,20
2014-11-01,33,21
2014-11-08,32,20
2014-11-15,33,18
2014-11-22,31,26
2014-11-29,31,17
2014-12-06,31,17
2014-12-13,32,18
2014-12-20,34,20
2014-12-27,38,25
2015-01-03,31,26
2015-01-10,30,39
2015-01-17,30,33
2015-01-24,30,25
2015-01-31,31,21
2015-02-07,33,20
2015-02-14,30,19
2015-02-21,30,28
2015-02-28,30,18
2015-03-07,29,19
2015-03-14,30,20
2015-03-21,30,25
2015-03-28,31,23
2015-04-04,31,22
2015-04-11,29,22
2015-04-18,30,19
2015-04-25,30,24
2015-05-02,29,25
2015-05-09,31,24
2015-05-16,30,27
2015-05-23,32,23
2015-05-30,33,23
2015-06-06,31,24
2015-06-13,31,19
2015-06-20,57,18
2015-06-27,36,19
2015-07-04,32,18
2015-07-11,32,19
2015-07-18,31,21
2015-07-25,33,32
2015-08-01,31,20
2015-08-08,31,18
2015-08-15,30,18
2015-08-22,37,18
2015-08-29,33,16
2015-09-05,29,16
2015-09-12,28,14
2015-09-19,29,19
2015-09-26,30,22
2015-10-03,31,16
2015-10-10,31,17
2015-10-17,33,15
2015-10-24,36,15
2015-10-31,31,16
2015-11-07,30,17
2015-11-14,29,16
2015-11-21,30,42
2015-11-28,30,18
2015-12-05,29,16
2015-12-12,30,18
2015-12-19,33,18
2015-12-26,34,22
2016-01-02,30,27
2016-01-09,33,26
2016-01-16,31,25
2016-01-23,35,27
2016-01-30,33,22
2016-02-06,39,18
2016-02-13,32,20
2016-02-20,32,19
2016-02-27,31,18
2016-03-05,29,16
2016-03-12,31,15
2016-03-19,30,16
2016-03-26,30,29
2016-04-02,31,24
2016-04-09,30,17
2016-04-16,57,15
2016-04-23,42,16
2016-04-30,33,17
2016-05-07,29,20
2016-05-14,30,18
2016-05-21,31,18
2016-05-28,32,18
2016-06-04,29,16
2016-06-11,28,17
2016-06-18,62,18
2016-06-25,41,18
2016-07-02,31,18
2016-07-09,28,19
2016-07-16,29,18
2016-07-23,29,26
2016-07-30,28,20
2016-08-06,26,20
2016-08-13,26,17
2016-08-20,27,19
2016-08-27,40,20
2016-09-03,33,16
2016-09-10,29,15
2016-09-17,42,25
