Week,Michael Jackson: (Worldwide),Justin Bieber: (Worldwide)
2011-09-24,25,39
2011-10-01,19,47
2011-10-08,23,49
2011-10-15,15,50
2011-10-22,15,45
2011-10-29,17,78
2011-11-05,22,68
2011-11-12,15,52
2011-11-19,14,53
2011-11-26,15,47
2011-12-03,14,53
2011-12-10,14,47
2011-12-17,14,54
2011-12-24,14,52
2011-12-31,13,43
2012-01-07,12,37
2012-01-14,12,39
2012-01-21,13,35
2012-01-28,14,32
2012-02-04,12,30
2012-02-11,17,32
2012-02-18,13,31
2012-02-25,11,41
2012-03-03,11,34
2012-03-10,10,28
2012-03-17,10,29
2012-03-24,10,42
2012-03-31,10,39
2012-04-07,10,33
2012-04-14,9,39
2012-04-21,9,49
2012-04-28,10,41
2012-05-05,10,39
2012-05-12,10,35
2012-05-19,10,40
2012-05-26,10,47
2012-06-02,10,42
2012-06-09,10,44
2012-06-16,11,49
2012-06-23,22,41
2012-06-30,11,42
2012-07-07,10,40
2012-07-14,10,37
2012-07-21,14,38
2012-07-28,10,40
2012-08-04,10,37
2012-08-11,10,35
2012-08-18,10,34
2012-08-25,14,32
2012-09-01,10,32
2012-09-08,10,31
2012-09-15,10,29
2012-09-22,9,30
2012-09-29,9,43
2012-10-06,9,41
2012-10-13,10,37
2012-10-20,10,37
2012-10-27,10,35
2012-11-03,9,34
2012-11-10,9,45
2012-11-17,10,42
2012-11-24,9,38
2012-12-01,9,35
2012-12-08,9,41
2012-12-15,9,36
2012-12-22,11,43
2012-12-29,10,47
2013-01-05,8,61
2013-01-12,8,35
2013-01-19,9,37
2013-01-26,9,39
2013-02-02,9,37
2013-02-09,9,38
2013-02-16,9,33
2013-02-23,9,40
2013-03-02,9,43
2013-03-09,9,40
2013-03-16,8,35
2013-03-23,9,39
2013-03-30,9,37
2013-04-06,9,35
2013-04-13,9,41
2013-04-20,9,43
2013-04-27,10,41
2013-05-04,10,38
2013-05-11,9,31
2013-05-18,9,37
2013-05-25,9,32
2013-06-01,13,34
2013-06-08,11,32
2013-06-15,11,32
2013-06-22,17,36
2013-06-29,12,32
2013-07-06,10,36
2013-07-13,10,36
2013-07-20,10,33
2013-07-27,9,38
2013-08-03,9,35
2013-08-10,10,35
2013-08-17,9,30
2013-08-24,14,30
2013-08-31,9,26
2013-09-07,9,26
2013-09-14,9,31
2013-09-21,9,27
2013-09-28,10,25
2013-10-05,9,31
2013-10-12,9,28
2013-10-19,10,30
2013-10-26,11,31
2013-11-02,9,49
