Week,Michael Jackson: (Worldwide),Katy Perry: (Worldwide)
2011-09-24,41,29
2011-10-01,31,24
2011-10-08,37,23
2011-10-15,25,23
2011-10-22,25,24
2011-10-29,27,22
2011-11-05,36,27
2011-11-12,24,30
2011-11-19,22,28
2011-11-26,25,24
2011-12-03,22,24
2011-12-10,23,27
2011-12-17,22,24
2011-12-24,23,47
2011-12-31,21,43
2012-01-07,19,32
2012-01-14,19,31
2012-01-21,21,28
2012-01-28,22,23
2012-02-04,20,23
2012-02-11,27,37
2012-02-18,20,25
2012-02-25,19,25
2012-03-03,18,24
2012-03-10,16,23
2012-03-17,16,30
2012-03-24,16,31
2012-03-31,16,32
2012-04-07,16,24
2012-04-14,15,24
2012-04-21,15,23
2012-04-28,16,20
2012-05-05,16,18
2012-05-12,16,18
2012-05-19,16,22
2012-05-26,16,20
2012-06-02,17,22
2012-06-09,16,24
2012-06-16,18,35
2012-06-23,35,34
2012-06-30,18,39
2012-07-07,16,34
2012-07-14,16,30
2012-07-21,22,26
2012-07-28,17,28
2012-08-04,16,24
2012-08-11,16,34
2012-08-18,16,24
2012-08-25,23,25
2012-09-01,17,25
2012-09-08,16,21
2012-09-15,16,21
2012-09-22,15,23
2012-09-29,15,19
2012-10-06,15,18
2012-10-13,15,18
2012-10-20,17,21
2012-10-27,16,17
2012-11-03,14,18
2012-11-10,14,15
2012-11-17,17,15
2012-11-24,15,14
2012-12-01,15,14
2012-12-08,14,14
2012-12-15,14,14
2012-12-22,17,16
2012-12-29,17,16
2013-01-05,14,15
2013-01-12,14,13
2013-01-19,14,15
2013-01-26,14,13
2013-02-02,15,13
2013-02-09,15,42
2013-02-16,15,15
2013-02-23,14,13
2013-03-02,14,12
2013-03-09,14,12
2013-03-16,14,13
2013-03-23,14,14
2013-03-30,15,13
2013-04-06,14,12
2013-04-13,14,12
2013-04-20,14,11
2013-04-27,16,12
2013-05-04,16,11
2013-05-11,15,11
2013-05-18,15,12
2013-05-25,15,12
2013-06-01,21,11
2013-06-08,18,12
2013-06-15,17,13
2013-06-22,28,12
2013-06-29,19,13
2013-07-06,16,13
2013-07-13,15,12
2013-07-20,16,12
2013-07-27,15,15
2013-08-03,14,17
2013-08-10,15,32
2013-08-17,15,25
2013-08-24,22,32
2013-08-31,15,33
2013-09-07,14,38
2013-09-14,14,35
2013-09-21,14,31
2013-09-28,16,34
2013-10-05,14,30
2013-10-12,14,37
2013-10-19,16,47
