Week,Michael Jackson: (Worldwide),Meghan Trainor: (Worldwide)
2011-09-24,95,0
2011-10-01,72,0
2011-10-08,87,0
2011-10-15,59,0
2011-10-22,58,0
2011-10-29,63,0
2011-11-05,85,0
2011-11-12,55,0
2011-11-19,53,0
2011-11-26,57,0
2011-12-03,52,0
2011-12-10,53,0
2011-12-17,51,0
2011-12-24,54,0
2011-12-31,49,0
2012-01-07,45,0
2012-01-14,45,0
2012-01-21,49,0
2012-01-28,51,0
2012-02-04,47,0
2012-02-11,64,0
2012-02-18,48,0
2012-02-25,43,0
2012-03-03,42,0
2012-03-10,38,0
2012-03-17,38,0
2012-03-24,38,0
2012-03-31,37,0
2012-04-07,37,0
2012-04-14,36,0
2012-04-21,36,0
2012-04-28,38,0
2012-05-05,37,0
2012-05-12,37,0
2012-05-19,37,0
2012-05-26,38,0
2012-06-02,39,0
2012-06-09,38,0
2012-06-16,41,0
2012-06-23,83,0
2012-06-30,42,0
2012-07-07,38,0
2012-07-14,38,0
2012-07-21,51,0
2012-07-28,40,0
2012-08-04,38,0
2012-08-11,38,0
2012-08-18,38,0
2012-08-25,54,0
2012-09-01,40,0
2012-09-08,37,0
2012-09-15,38,0
2012-09-22,35,0
2012-09-29,35,0
2012-10-06,34,0
2012-10-13,36,0
2012-10-20,39,0
2012-10-27,38,0
2012-11-03,33,0
2012-11-10,34,0
2012-11-17,40,0
2012-11-24,35,0
2012-12-01,35,0
2012-12-08,34,0
2012-12-15,33,0
2012-12-22,40,0
2012-12-29,40,0
2013-01-05,32,0
2013-01-12,32,0
2013-01-19,32,0
2013-01-26,32,0
2013-02-02,35,0
2013-02-09,34,0
2013-02-16,36,0
2013-02-23,34,0
2013-03-02,34,0
2013-03-09,32,0
2013-03-16,32,0
2013-03-23,33,0
2013-03-30,36,0
2013-04-06,34,0
2013-04-13,34,0
2013-04-20,33,0
2013-04-27,37,0
2013-05-04,38,0
2013-05-11,36,0
2013-05-18,35,0
2013-05-25,34,0
2013-06-01,48,0
2013-06-08,41,0
2013-06-15,40,0
2013-06-22,66,0
2013-06-29,44,0
2013-07-06,37,0
2013-07-13,36,0
2013-07-20,36,0
2013-07-27,35,0
2013-08-03,34,0
2013-08-10,36,0
2013-08-17,36,0
2013-08-24,52,0
2013-08-31,35,0
2013-09-07,33,0
2013-09-14,32,0
2013-09-21,33,0
2013-09-28,37,0
2013-10-05,33,0
2013-10-12,33,0
2013-10-19,38,0
2013-10-26,42,0
2013-11-02,33,0
2013-11-09,31,0
2013-11-16,31,0
2013-11-23,34,0
2013-11-30,33,0
2013-12-07,31,0
2013-12-14,32,0
2013-12-21,38,0
2013-12-28,51,0
2014-01-04,36,0
2014-01-11,31,0
2014-01-18,32,0
2014-01-25,31,0
2014-02-01,32,0
2014-02-08,31,0
2014-02-15,32,0
2014-02-22,31,0
2014-03-01,36,0
2014-03-08,33,0
2014-03-15,30,0
2014-03-22,31,0
2014-03-29,37,0
2014-04-05,34,0
2014-04-12,57,0
2014-04-19,51,0
2014-04-26,46,0
2014-05-03,50,0
2014-05-10,63,0
2014-05-17,100,0
2014-05-24,57,0
2014-05-31,50,0
2014-06-07,44,0
2014-06-14,42,0
2014-06-21,73,0
2014-06-28,46,1
2014-07-05,41,1
2014-07-12,42,2
2014-07-19,42,3
2014-07-26,40,5
2014-08-02,41,7
2014-08-09,44,9
2014-08-16,39,11
2014-08-23,50,12
2014-08-30,35,16
2014-09-06,33,21
2014-09-13,33,21
2014-09-20,33,20
2014-09-27,32,20
2014-10-04,32,20
2014-10-11,32,21
2014-10-18,33,19
2014-10-25,38,19
2014-11-01,33,24
2014-11-08,32,20
2014-11-15,33,19
2014-11-22,31,23
2014-11-29,31,21
2014-12-06,31,22
2014-12-13,32,23
2014-12-20,34,23
2014-12-27,38,28
2015-01-03,31,20
2015-01-10,30,22
2015-01-17,30,23
2015-01-24,30,20
2015-01-31,31,17
2015-02-07,33,19
2015-02-14,30,16
2015-02-21,30,16
2015-02-28,30,14
2015-03-07,29,16
2015-03-14,30,18
2015-03-21,30,14
2015-03-28,31,14
2015-04-04,31,13
2015-04-11,29,13
2015-04-18,30,13
2015-04-25,30,14
2015-05-02,29,12
2015-05-09,31,13
2015-05-16,30,18
2015-05-23,32,13
2015-05-30,33,11
2015-06-06,31,10
2015-06-13,31,10
2015-06-20,57,10
2015-06-27,36,10
2015-07-04,32,10
2015-07-11,32,10
2015-07-18,31,11
2015-07-25,33,10
2015-08-01,31,11
2015-08-08,31,12
2015-08-15,30,10
2015-08-22,37,10
2015-08-29,33,9
2015-09-05,29,9
2015-09-12,28,9
2015-09-19,29,9
2015-09-26,30,9
2015-10-03,31,9
2015-10-10,31,10
2015-10-17,33,12
2015-10-24,36,12
2015-10-31,31,11
2015-11-07,30,9
2015-11-14,29,9
2015-11-21,30,35
2015-11-28,30,12
2015-12-05,29,10
2015-12-12,30,9
2015-12-19,33,10
2015-12-26,34,10
2016-01-02,30,10
2016-01-09,33,10
2016-01-16,31,9
2016-01-23,35,8
2016-01-30,33,7
2016-02-06,39,8
2016-02-13,32,15
2016-02-20,32,7
2016-02-27,31,9
2016-03-05,29,13
2016-03-12,31,13
2016-03-19,30,20
2016-03-26,30,19
2016-04-02,31,22
2016-04-09,30,20
2016-04-16,57,20
2016-04-23,42,19
2016-04-30,33,18
2016-05-07,29,34
2016-05-14,30,26
2016-05-21,31,21
2016-05-28,32,17
2016-06-04,29,16
2016-06-11,28,14
2016-06-18,62,14
2016-06-25,41,14
2016-07-02,31,14
2016-07-09,28,13
2016-07-16,29,13
2016-07-23,29,13
2016-07-30,28,13
2016-08-06,26,12
2016-08-13,26,11
2016-08-20,27,10
2016-08-27,40,10
2016-09-03,33,10
2016-09-10,29,9
2016-09-17,42,14
