Week,Michael Jackson: (Worldwide),Miley Cyrus: (Worldwide)
2011-09-24,9,4
2011-10-01,7,3
2011-10-08,8,3
2011-10-15,5,3
2011-10-22,5,3
2011-10-29,6,3
2011-11-05,8,5
2011-11-12,5,5
2011-11-19,5,4
2011-11-26,5,5
2011-12-03,5,3
2011-12-10,5,4
2011-12-17,5,4
2011-12-24,5,4
2011-12-31,4,4
2012-01-07,4,4
2012-01-14,4,3
2012-01-21,4,5
2012-01-28,5,4
2012-02-04,4,4
2012-02-11,6,3
2012-02-18,4,3
2012-02-25,4,3
2012-03-03,4,3
2012-03-10,3,4
2012-03-17,3,3
2012-03-24,3,4
2012-03-31,3,5
2012-04-07,3,8
2012-04-14,3,4
2012-04-21,3,4
2012-04-28,3,4
2012-05-05,3,4
2012-05-12,3,3
2012-05-19,3,6
2012-05-26,3,4
2012-06-02,4,9
2012-06-09,3,6
2012-06-16,4,5
2012-06-23,8,5
2012-06-30,4,4
2012-07-07,3,5
2012-07-14,3,5
2012-07-21,5,5
2012-07-28,4,6
2012-08-04,3,6
2012-08-11,3,20
2012-08-18,3,9
2012-08-25,5,6
2012-09-01,4,6
2012-09-08,3,5
2012-09-15,3,4
2012-09-22,3,7
2012-09-29,3,5
2012-10-06,3,6
2012-10-13,3,4
2012-10-20,4,4
2012-10-27,4,4
2012-11-03,3,4
2012-11-10,3,4
2012-11-17,4,4
2012-11-24,3,3
2012-12-01,3,3
2012-12-08,3,4
2012-12-15,3,4
2012-12-22,4,4
2012-12-29,4,4
2013-01-05,3,4
2013-01-12,3,3
2013-01-19,3,3
2013-01-26,3,4
2013-02-02,3,3
2013-02-09,3,4
2013-02-16,3,3
2013-02-23,3,3
2013-03-02,3,3
2013-03-09,3,4
2013-03-16,3,4
2013-03-23,3,4
2013-03-30,3,4
2013-04-06,3,4
2013-04-13,3,3
2013-04-20,3,3
2013-04-27,3,4
2013-05-04,3,5
2013-05-11,3,4
2013-05-18,3,4
2013-05-25,3,4
2013-06-01,4,5
2013-06-08,4,6
2013-06-15,4,8
2013-06-22,6,9
2013-06-29,4,7
2013-07-06,3,8
2013-07-13,3,8
2013-07-20,3,9
2013-07-27,3,8
2013-08-03,3,7
2013-08-10,3,7
2013-08-17,3,6
2013-08-24,5,100
2013-08-31,3,20
2013-09-07,3,34
2013-09-14,3,21
2013-09-21,3,22
2013-09-28,3,27
2013-10-05,3,25
2013-10-12,3,16
2013-10-19,3,13
2013-10-26,4,14
2013-11-02,3,13
2013-11-09,3,20
2013-11-16,3,16
2013-11-23,3,18
2013-11-30,3,12
2013-12-07,3,12
2013-12-14,3,13
2013-12-21,3,17
2013-12-28,5,16
2014-01-04,3,11
2014-01-11,3,11
2014-01-18,3,10
2014-01-25,3,10
2014-02-01,3,11
2014-02-08,3,10
2014-02-15,3,11
2014-02-22,3,10
2014-03-01,3,9
2014-03-08,3,8
2014-03-15,3,9
2014-03-22,3,9
2014-03-29,3,9
2014-04-05,3,10
2014-04-12,5,9
2014-04-19,5,7
2014-04-26,4,7
2014-05-03,5,7
2014-05-10,6,7
2014-05-17,9,6
2014-05-24,5,6
2014-05-31,5,6
2014-06-07,4,6
2014-06-14,4,7
2014-06-21,7,6
2014-06-28,4,5
2014-07-05,4,6
2014-07-12,4,5
2014-07-19,4,7
2014-07-26,4,5
2014-08-02,4,5
2014-08-09,4,6
2014-08-16,4,5
2014-08-23,5,7
2014-08-30,3,5
2014-09-06,3,6
2014-09-13,3,6
2014-09-20,3,5
2014-09-27,3,5
2014-10-04,3,4
2014-10-11,3,4
2014-10-18,3,4
2014-10-25,3,4
2014-11-01,3,5
2014-11-08,3,6
2014-11-15,3,6
2014-11-22,3,5
2014-11-29,3,5
2014-12-06,3,4
2014-12-13,3,4
2014-12-20,3,4
2014-12-27,3,7
2015-01-03,3,4
2015-01-10,3,7
2015-01-17,3,5
2015-01-24,3,6
2015-01-31,3,4
2015-02-07,3,4
2015-02-14,3,4
2015-02-21,3,3
2015-02-28,3,3
2015-03-07,3,3
2015-03-14,3,3
2015-03-21,3,3
2015-03-28,3,3
2015-04-04,3,3
2015-04-11,3,4
2015-04-18,3,4
2015-04-25,3,3
2015-05-02,3,4
2015-05-09,3,4
2015-05-16,3,3
