Week,Michael Jackson: (Worldwide),Nicki Minaj: (Worldwide)
2011-09-24,54,28
2011-10-01,41,28
2011-10-08,49,36
2011-10-15,33,35
2011-10-22,33,33
2011-10-29,35,34
2011-11-05,48,34
2011-11-12,31,27
2011-11-19,30,33
2011-11-26,32,31
2011-12-03,30,30
2011-12-10,30,27
2011-12-17,29,30
2011-12-24,30,35
2011-12-31,28,32
2012-01-07,25,25
2012-01-14,25,27
2012-01-21,28,32
2012-01-28,29,33
2012-02-04,27,39
2012-02-11,36,73
2012-02-18,27,39
2012-02-25,25,36
2012-03-03,24,30
2012-03-10,21,33
2012-03-17,22,36
2012-03-24,22,39
2012-03-31,21,52
2012-04-07,21,50
2012-04-14,20,44
2012-04-21,20,43
2012-04-28,21,46
2012-05-05,21,43
2012-05-12,21,47
2012-05-19,21,43
2012-05-26,21,41
2012-06-02,22,42
2012-06-09,21,37
2012-06-16,23,37
2012-06-23,47,37
2012-06-30,24,41
2012-07-07,21,39
2012-07-14,21,33
2012-07-21,29,33
2012-07-28,22,35
2012-08-04,21,38
2012-08-11,21,37
2012-08-18,22,38
2012-08-25,30,33
2012-09-01,22,45
2012-09-08,21,40
2012-09-15,21,34
2012-09-22,20,30
2012-09-29,20,43
2012-10-06,19,32
2012-10-13,20,35
2012-10-20,22,36
2012-10-27,22,36
2012-11-03,19,34
2012-11-10,19,34
2012-11-17,22,44
2012-11-24,20,34
2012-12-01,20,31
2012-12-08,19,29
2012-12-15,19,28
2012-12-22,22,34
2012-12-29,22,33
2013-01-05,18,28
2013-01-12,18,45
2013-01-19,18,36
2013-01-26,18,30
2013-02-02,20,28
2013-02-09,19,28
2013-02-16,20,31
2013-02-23,19,35
2013-03-02,19,32
2013-03-09,18,33
2013-03-16,18,33
2013-03-23,19,29
2013-03-30,20,36
2013-04-06,19,32
2013-04-13,19,29
2013-04-20,19,26
2013-04-27,21,27
2013-05-04,22,26
2013-05-11,20,24
2013-05-18,20,31
2013-05-25,19,23
2013-06-01,27,21
2013-06-08,23,20
2013-06-15,23,22
2013-06-22,37,23
2013-06-29,25,27
2013-07-06,21,24
2013-07-13,20,22
2013-07-20,21,32
2013-07-27,20,31
2013-08-03,19,25
2013-08-10,20,21
2013-08-17,20,20
2013-08-24,29,19
2013-08-31,20,19
2013-09-07,18,22
2013-09-14,18,17
2013-09-21,18,20
2013-09-28,21,20
2013-10-05,19,18
2013-10-12,18,23
2013-10-19,21,20
2013-10-26,24,25
2013-11-02,18,23
2013-11-09,18,17
2013-11-16,18,16
2013-11-23,19,17
2013-11-30,18,16
2013-12-07,17,20
2013-12-14,18,22
2013-12-21,21,20
2013-12-28,29,20
2014-01-04,20,19
2014-01-11,18,16
2014-01-18,18,15
2014-01-25,18,16
2014-02-01,18,15
2014-02-08,18,24
2014-02-15,18,19
2014-02-22,18,16
2014-03-01,20,18
2014-03-08,18,18
2014-03-15,17,16
2014-03-22,17,14
2014-03-29,21,14
2014-04-05,19,16
2014-04-12,32,19
2014-04-19,29,19
2014-04-26,26,17
2014-05-03,28,16
2014-05-10,35,15
2014-05-17,56,20
2014-05-24,32,17
2014-05-31,28,21
2014-06-07,25,22
2014-06-14,24,17
2014-06-21,41,17
2014-06-28,26,29
2014-07-05,23,20
2014-07-12,23,20
2014-07-19,24,35
2014-07-26,22,41
2014-08-02,23,47
2014-08-09,25,32
2014-08-16,22,86
2014-08-23,28,100
2014-08-30,20,44
2014-09-06,19,45
2014-09-13,19,48
2014-09-20,18,37
2014-09-27,18,38
2014-10-04,18,31
2014-10-11,18,28
2014-10-18,19,28
2014-10-25,21,34
2014-11-01,19,32
2014-11-08,18,45
2014-11-15,19,31
2014-11-22,17,30
2014-11-29,17,31
2014-12-06,17,51
2014-12-13,18,60
2014-12-20,19,50
2014-12-27,21,45
2015-01-03,17,36
2015-01-10,17,34
2015-01-17,17,34
2015-01-24,17,29
2015-01-31,18,30
2015-02-07,18,30
2015-02-14,17,33
2015-02-21,17,26
2015-02-28,17,24
2015-03-07,17,24
2015-03-14,17,26
2015-03-21,17,25
2015-03-28,17,29
2015-04-04,18,28
