Week,Michael Jackson: (Worldwide),Pitbull: (Worldwide)
2011-09-24,95,65
2011-10-01,72,65
2011-10-08,87,62
2011-10-15,59,59
2011-10-22,58,61
2011-10-29,63,61
2011-11-05,85,59
2011-11-12,55,56
2011-11-19,53,68
2011-11-26,57,58
2011-12-03,52,58
2011-12-10,53,59
2011-12-17,51,63
2011-12-24,54,67
2011-12-31,49,66
2012-01-07,45,57
2012-01-14,45,57
2012-01-21,49,58
2012-01-28,51,55
2012-02-04,47,55
2012-02-11,64,53
2012-02-18,48,54
2012-02-25,43,53
2012-03-03,42,51
2012-03-10,38,51
2012-03-17,38,51
2012-03-24,38,50
2012-03-31,37,54
2012-04-07,37,53
2012-04-14,36,50
2012-04-21,36,55
2012-04-28,38,54
2012-05-05,37,51
2012-05-12,37,54
2012-05-19,37,59
2012-05-26,38,57
2012-06-02,39,54
2012-06-09,38,52
2012-06-16,41,50
2012-06-23,83,53
2012-06-30,42,52
2012-07-07,38,48
2012-07-14,38,49
2012-07-21,51,47
2012-07-28,40,47
2012-08-04,38,45
2012-08-11,38,46
2012-08-18,38,45
2012-08-25,54,41
2012-09-01,40,40
2012-09-08,37,38
2012-09-15,38,37
2012-09-22,35,38
2012-09-29,35,35
2012-10-06,34,34
2012-10-13,36,34
2012-10-20,39,34
2012-10-27,38,33
2012-11-03,33,30
2012-11-10,34,34
2012-11-17,40,39
2012-11-24,35,32
2012-12-01,35,32
2012-12-08,34,32
2012-12-15,33,34
2012-12-22,40,37
2012-12-29,40,46
2013-01-05,32,33
2013-01-12,32,34
2013-01-19,32,34
2013-01-26,32,33
2013-02-02,35,33
2013-02-09,34,33
2013-02-16,36,33
2013-02-23,34,34
2013-03-02,34,31
2013-03-09,32,31
2013-03-16,32,33
2013-03-23,33,38
2013-03-30,36,41
2013-04-06,34,36
2013-04-13,34,36
2013-04-20,33,35
2013-04-27,37,35
2013-05-04,38,35
2013-05-11,36,35
2013-05-18,35,42
2013-05-25,34,38
2013-06-01,48,35
2013-06-08,41,34
2013-06-15,40,37
2013-06-22,66,34
2013-06-29,44,34
2013-07-06,37,34
2013-07-13,36,37
2013-07-20,36,35
2013-07-27,35,35
2013-08-03,34,35
2013-08-10,36,33
2013-08-17,36,32
2013-08-24,52,31
2013-08-31,35,29
2013-09-07,33,27
2013-09-14,32,26
2013-09-21,33,26
2013-09-28,37,26
2013-10-05,33,27
2013-10-12,33,28
2013-10-19,38,27
2013-10-26,42,28
2013-11-02,33,28
2013-11-09,31,28
2013-11-16,31,30
2013-11-23,34,39
2013-11-30,33,31
2013-12-07,31,33
2013-12-14,32,34
2013-12-21,38,38
2013-12-28,51,41
2014-01-04,36,34
2014-01-11,31,34
2014-01-18,32,36
2014-01-25,31,35
2014-02-01,32,34
2014-02-08,31,32
2014-02-15,32,31
2014-02-22,31,30
2014-03-01,36,30
2014-03-08,33,32
2014-03-15,30,31
2014-03-22,31,31
2014-03-29,37,33
2014-04-05,34,34
2014-04-12,57,32
2014-04-19,51,33
2014-04-26,46,32
2014-05-03,50,33
2014-05-10,63,33
2014-05-17,100,41
2014-05-24,57,38
2014-05-31,50,39
2014-06-07,44,74
2014-06-14,42,55
2014-06-21,73,43
2014-06-28,46,39
2014-07-05,41,36
2014-07-12,42,37
2014-07-19,42,32
2014-07-26,40,32
2014-08-02,41,31
2014-08-09,44,29
2014-08-16,39,29
2014-08-23,50,28
2014-08-30,35,28
2014-09-06,33,28
2014-09-13,33,27
2014-09-20,33,27
2014-09-27,32,28
2014-10-04,32,27
2014-10-11,32,27
2014-10-18,33,29
2014-10-25,38,26
2014-11-01,33,26
2014-11-08,32,26
2014-11-15,33,26
2014-11-22,31,39
2014-11-29,31,26
2014-12-06,31,26
2014-12-13,32,27
2014-12-20,34,30
2014-12-27,38,40
2015-01-03,31,28
2015-01-10,30,29
2015-01-17,30,28
2015-01-24,30,29
2015-01-31,31,31
2015-02-07,33,30
2015-02-14,30,29
2015-02-21,30,27
2015-02-28,30,32
2015-03-07,29,29
2015-03-14,30,27
2015-03-21,30,28
2015-03-28,31,27
2015-04-04,31,26
2015-04-11,29,26
2015-04-18,30,26
2015-04-25,30,27
2015-05-02,29,26
2015-05-09,31,27
2015-05-16,30,29
2015-05-23,32,28
2015-05-30,33,28
2015-06-06,31,28
2015-06-13,31,27
2015-06-20,57,29
2015-06-27,36,28
2015-07-04,32,27
2015-07-11,32,32
2015-07-18,31,29
2015-07-25,33,30
2015-08-01,31,28
2015-08-08,31,26
2015-08-15,30,25
2015-08-22,37,24
2015-08-29,33,23
2015-09-05,29,23
2015-09-12,28,23
2015-09-19,29,22
2015-09-26,30,21
2015-10-03,31,22
2015-10-10,31,22
2015-10-17,33,22
2015-10-24,36,22
2015-10-31,31,20
2015-11-07,30,21
2015-11-14,29,21
2015-11-21,30,22
2015-11-28,30,22
2015-12-05,29,21
2015-12-12,30,21
2015-12-19,33,24
2015-12-26,34,31
2016-01-02,30,22
2016-01-09,33,23
2016-01-16,31,24
2016-01-23,35,25
2016-01-30,33,23
2016-02-06,39,24
2016-02-13,32,30
2016-02-20,32,23
2016-02-27,31,22
2016-03-05,29,21
2016-03-12,31,20
2016-03-19,30,21
2016-03-26,30,23
2016-04-02,31,22
2016-04-09,30,21
2016-04-16,57,21
2016-04-23,42,21
2016-04-30,33,21
2016-05-07,29,23
2016-05-14,30,21
2016-05-21,31,23
2016-05-28,32,22
2016-06-04,29,23
2016-06-11,28,23
2016-06-18,62,25
2016-06-25,41,25
2016-07-02,31,25
2016-07-09,28,23
2016-07-16,29,23
2016-07-23,29,23
2016-07-30,28,23
2016-08-06,26,23
2016-08-13,26,23
2016-08-20,27,22
2016-08-27,40,21
2016-09-03,33,21
2016-09-10,29,21
2016-09-17,42,34
