Week,Michael Jackson: (Worldwide),Psy: (Worldwide)
2011-09-24,59,4
2011-10-01,45,4
2011-10-08,54,4
2011-10-15,37,4
2011-10-22,36,4
2011-10-29,39,4
2011-11-05,53,4
2011-11-12,35,4
2011-11-19,33,4
2011-11-26,36,4
2011-12-03,33,4
2011-12-10,33,4
2011-12-17,32,4
2011-12-24,34,4
2011-12-31,31,4
2012-01-07,28,5
2012-01-14,28,4
2012-01-21,30,4
2012-01-28,32,4
2012-02-04,29,4
2012-02-11,40,4
2012-02-18,30,4
2012-02-25,27,4
2012-03-03,26,4
2012-03-10,24,4
2012-03-17,24,4
2012-03-24,24,4
2012-03-31,23,4
2012-04-07,23,4
2012-04-14,22,4
2012-04-21,22,4
2012-04-28,23,3
2012-05-05,23,4
2012-05-12,23,3
2012-05-19,23,3
2012-05-26,24,3
2012-06-02,24,3
2012-06-09,24,3
2012-06-16,26,3
2012-06-23,52,3
2012-06-30,26,3
2012-07-07,24,4
2012-07-14,24,4
2012-07-21,32,5
2012-07-28,25,7
2012-08-04,24,7
2012-08-11,23,10
2012-08-18,24,14
2012-08-25,33,15
2012-09-01,25,21
2012-09-08,23,32
2012-09-15,24,43
2012-09-22,22,47
2012-09-29,22,49
2012-10-06,21,45
2012-10-13,23,46
2012-10-20,25,44
2012-10-27,24,41
2012-11-03,21,40
2012-11-10,21,45
2012-11-17,25,45
2012-11-24,22,43
2012-12-01,22,39
2012-12-08,21,41
2012-12-15,21,43
2012-12-22,25,45
2012-12-29,25,48
2013-01-05,20,29
2013-01-12,20,25
2013-01-19,20,24
2013-01-26,20,23
2013-02-02,22,25
2013-02-09,21,24
2013-02-16,22,21
2013-02-23,21,22
2013-03-02,21,18
2013-03-09,20,16
2013-03-16,20,15
2013-03-23,21,15
2013-03-30,22,15
2013-04-06,21,32
2013-04-13,21,100
2013-04-20,21,53
2013-04-27,23,46
2013-05-04,24,34
2013-05-11,22,30
2013-05-18,22,29
2013-05-25,21,29
2013-06-01,30,24
2013-06-08,26,22
2013-06-15,25,21
2013-06-22,41,18
2013-06-29,27,17
2013-07-06,23,16
2013-07-13,23,14
2013-07-20,23,14
2013-07-27,22,14
2013-08-03,21,12
2013-08-10,23,12
2013-08-17,22,11
2013-08-24,32,11
2013-08-31,22,10
2013-09-07,20,9
2013-09-14,20,9
2013-09-21,20,8
2013-09-28,23,8
2013-10-05,21,8
2013-10-12,20,9
2013-10-19,24,8
2013-10-26,26,9
2013-11-02,20,8
2013-11-09,19,8
2013-11-16,19,8
2013-11-23,21,8
2013-11-30,20,7
2013-12-07,19,8
2013-12-14,20,8
2013-12-21,24,9
2013-12-28,32,9
2014-01-04,22,8
2014-01-11,20,7
2014-01-18,20,7
2014-01-25,19,7
2014-02-01,20,7
2014-02-08,19,7
2014-02-15,20,6
2014-02-22,20,7
2014-03-01,23,6
2014-03-08,20,6
2014-03-15,19,6
2014-03-22,19,6
2014-03-29,23,6
2014-04-05,21,6
2014-04-12,36,6
2014-04-19,32,6
2014-04-26,29,6
2014-05-03,31,6
2014-05-10,39,6
2014-05-17,62,6
2014-05-24,36,6
2014-05-31,31,7
2014-06-07,28,18
2014-06-14,26,10
2014-06-21,46,8
2014-06-28,29,8
2014-07-05,26,7
2014-07-12,26,6
2014-07-19,26,7
2014-07-26,25,7
2014-08-02,26,7
2014-08-09,27,7
2014-08-16,25,6
2014-08-23,31,6
2014-08-30,22,6
2014-09-06,21,6
2014-09-13,21,6
2014-09-20,20,6
2014-09-27,20,6
2014-10-04,20,6
2014-10-11,20,5
2014-10-18,21,6
2014-10-25,23,6
2014-11-01,21,6
2014-11-08,20,6
2014-11-15,21,6
2014-11-22,19,5
2014-11-29,19,7
2014-12-06,19,6
2014-12-13,20,6
2014-12-20,21,6
2014-12-27,23,6
2015-01-03,19,6
2015-01-10,18,6
2015-01-17,19,5
2015-01-24,19,5
2015-01-31,20,5
2015-02-07,20,5
2015-02-14,19,6
2015-02-21,19,5
2015-02-28,19,5
2015-03-07,18,5
2015-03-14,19,5
2015-03-21,19,5
2015-03-28,19,5
2015-04-04,19,5
2015-04-11,18,5
2015-04-18,18,5
2015-04-25,19,5
2015-05-02,18,5
2015-05-09,19,5
2015-05-16,19,5
2015-05-23,20,5
2015-05-30,21,5
2015-06-06,19,5
2015-06-13,19,5
2015-06-20,35,5
2015-06-27,23,5
2015-07-04,20,5
2015-07-11,20,5
2015-07-18,19,5
2015-07-25,21,5
2015-08-01,19,5
2015-08-08,19,5
2015-08-15,19,5
2015-08-22,23,5
2015-08-29,21,5
2015-09-05,18,5
2015-09-12,17,5
2015-09-19,18,5
2015-09-26,18,4
2015-10-03,19,5
2015-10-10,19,5
2015-10-17,21,5
2015-10-24,23,5
2015-10-31,20,5
2015-11-07,19,5
2015-11-14,18,5
2015-11-21,18,5
2015-11-28,19,18
2015-12-05,18,12
2015-12-12,19,10
2015-12-19,20,9
2015-12-26,21,9
2016-01-02,18,8
2016-01-09,21,7
2016-01-16,19,7
2016-01-23,22,7
2016-01-30,20,6
2016-02-06,25,7
2016-02-13,20,6
2016-02-20,20,6
2016-02-27,19,6
2016-03-05,18,6
2016-03-12,19,6
2016-03-19,19,6
2016-03-26,18,6
2016-04-02,19,5
2016-04-09,19,5
2016-04-16,35,5
2016-04-23,26,5
2016-04-30,21,5
2016-05-07,18,5
2016-05-14,18,5
2016-05-21,19,5
2016-05-28,20,5
2016-06-04,18,5
2016-06-11,17,5
2016-06-18,39,5
2016-06-25,25,4
2016-07-02,19,5
2016-07-09,18,5
2016-07-16,18,5
2016-07-23,18,5
2016-07-30,17,5
2016-08-06,16,5
2016-08-13,16,5
2016-08-20,17,5
2016-08-27,25,5
2016-09-03,21,5
2016-09-10,18,5
2016-09-17,26,7
