Week,Michael Jackson: (Worldwide),Rihanna: (Worldwide)
2011-09-24,43,63
2011-10-01,33,54
2011-10-08,40,59
2011-10-15,27,66
2011-10-22,27,65
2011-10-29,29,64
2011-11-05,39,71
2011-11-12,25,71
2011-11-19,24,78
2011-11-26,26,64
2011-12-03,24,61
2011-12-10,24,56
2011-12-17,23,59
2011-12-24,25,65
2011-12-31,22,57
2012-01-07,21,52
2012-01-14,21,54
2012-01-21,22,52
2012-01-28,23,45
2012-02-04,21,44
2012-02-11,29,58
2012-02-18,22,67
2012-02-25,20,47
2012-03-03,19,47
2012-03-10,17,49
2012-03-17,17,45
2012-03-24,17,44
2012-03-31,17,44
2012-04-07,17,44
2012-04-14,16,49
2012-04-21,16,43
2012-04-28,17,49
2012-05-05,17,50
2012-05-12,17,51
2012-05-19,17,46
2012-05-26,17,44
2012-06-02,18,42
2012-06-09,17,49
2012-06-16,19,44
2012-06-23,38,43
2012-06-30,19,41
2012-07-07,17,39
2012-07-14,17,36
2012-07-21,23,38
2012-07-28,18,34
2012-08-04,17,33
2012-08-11,17,36
2012-08-18,17,43
2012-08-25,24,44
2012-09-01,18,45
2012-09-08,17,51
2012-09-15,17,35
2012-09-22,16,44
2012-09-29,16,46
2012-10-06,16,46
2012-10-13,16,44
2012-10-20,18,44
2012-10-27,18,43
2012-11-03,15,53
2012-11-10,15,74
2012-11-17,18,78
2012-11-24,16,73
2012-12-01,16,65
2012-12-08,15,67
2012-12-15,15,61
2012-12-22,18,74
2012-12-29,18,70
2013-01-05,15,57
2013-01-12,14,56
2013-01-19,15,54
2013-01-26,15,54
2013-02-02,16,57
2013-02-09,16,99
2013-02-16,16,82
2013-02-23,15,67
2013-03-02,15,68
2013-03-09,15,64
2013-03-16,15,58
2013-03-23,15,58
2013-03-30,16,55
2013-04-06,15,53
2013-04-13,15,52
2013-04-20,15,51
2013-04-27,17,50
2013-05-04,17,53
2013-05-11,16,47
2013-05-18,16,47
2013-05-25,16,51
2013-06-01,22,48
2013-06-08,19,47
2013-06-15,18,46
2013-06-22,30,43
2013-06-29,20,44
2013-07-06,17,46
2013-07-13,16,42
2013-07-20,17,41
2013-07-27,16,37
2013-08-03,15,42
2013-08-10,17,36
2013-08-17,16,34
2013-08-24,24,38
2013-08-31,16,33
2013-09-07,15,33
2013-09-14,15,32
2013-09-21,15,38
2013-09-28,17,48
2013-10-05,15,42
2013-10-12,15,38
2013-10-19,17,37
2013-10-26,19,42
2013-11-02,15,36
2013-11-09,14,40
2013-11-16,14,45
2013-11-23,16,46
2013-11-30,15,36
2013-12-07,14,35
2013-12-14,15,38
2013-12-21,17,41
2013-12-28,23,39
2014-01-04,16,37
2014-01-11,14,43
2014-01-18,14,45
2014-01-25,14,49
2014-02-01,15,47
2014-02-08,14,37
2014-02-15,14,42
2014-02-22,14,44
2014-03-01,17,42
2014-03-08,15,35
2014-03-15,14,37
2014-03-22,14,34
2014-03-29,17,32
2014-04-05,16,41
2014-04-12,26,36
2014-04-19,23,33
2014-04-26,21,58
2014-05-03,23,44
2014-05-10,29,38
2014-05-17,46,32
2014-05-24,26,30
2014-05-31,23,100
2014-06-07,20,41
2014-06-14,19,36
2014-06-21,33,31
2014-06-28,21,30
2014-07-05,19,34
2014-07-12,19,43
2014-07-19,19,28
2014-07-26,18,28
2014-08-02,19,30
2014-08-09,20,29
2014-08-16,18,30
2014-08-23,23,28
2014-08-30,16,37
2014-09-06,15,26
2014-09-13,15,24
2014-09-20,15,45
2014-09-27,15,25
2014-10-04,15,22
2014-10-11,15,21
2014-10-18,15,21
2014-10-25,17,23
2014-11-01,15,28
2014-11-08,15,24
2014-11-15,15,22
2014-11-22,14,23
2014-11-29,14,22
2014-12-06,14,24
2014-12-13,15,24
2014-12-20,16,24
2014-12-27,17,25
2015-01-03,14,22
2015-01-10,13,24
2015-01-17,14,23
2015-01-24,14,28
2015-01-31,14,30
2015-02-07,15,40
2015-02-14,14,32
2015-02-21,14,30
2015-02-28,14,29
2015-03-07,13,26
2015-03-14,14,26
2015-03-21,14,31
2015-03-28,14,35
2015-04-04,14,31
2015-04-11,13,30
2015-04-18,14,29
2015-04-25,14,26
2015-05-02,13,34
2015-05-09,14,25
2015-05-16,14,24
2015-05-23,15,22
2015-05-30,15,25
2015-06-06,14,24
2015-06-13,14,22
2015-06-20,26,23
2015-06-27,17,37
2015-07-04,15,29
2015-07-11,14,24
2015-07-18,14,26
2015-07-25,15,23
2015-08-01,14,26
2015-08-08,14,23
2015-08-15,14,24
2015-08-22,17,22
2015-08-29,15,21
2015-09-05,13,20
2015-09-12,13,21
2015-09-19,13,21
2015-09-26,13,31
2015-10-03,14,26
2015-10-10,14,20
2015-10-17,15,19
2015-10-24,16,21
2015-10-31,14,21
2015-11-07,14,18
2015-11-14,13,18
2015-11-21,14,26
2015-11-28,14,27
2015-12-05,13,22
2015-12-12,14,22
2015-12-19,15,23
2015-12-26,15,23
2016-01-02,14,21
2016-01-09,15,20
2016-01-16,14,20
2016-01-23,16,58
2016-01-30,15,48
2016-02-06,18,42
2016-02-13,15,43
2016-02-20,15,73
2016-02-27,14,51
2016-03-05,13,43
2016-03-12,14,49
2016-03-19,14,48
2016-03-26,13,46
2016-04-02,14,41
2016-04-09,14,40
2016-04-16,26,50
2016-04-23,19,46
2016-04-30,15,43
2016-05-07,13,37
2016-05-14,13,36
2016-05-21,14,41
2016-05-28,15,36
2016-06-04,13,32
2016-06-11,13,32
2016-06-18,28,35
2016-06-25,19,41
2016-07-02,14,41
2016-07-09,13,38
2016-07-16,13,34
2016-07-23,13,34
2016-07-30,13,34
2016-08-06,12,31
2016-08-13,12,30
2016-08-20,12,27
2016-08-27,18,66
2016-09-03,15,34
2016-09-10,13,28
2016-09-17,19,40
