Week,Michael Jackson: (Worldwide),Shakira: (Worldwide)
2011-09-24,52,35
2011-10-01,40,37
2011-10-08,48,30
2011-10-15,32,27
2011-10-22,32,26
2011-10-29,35,27
2011-11-05,47,31
2011-11-12,31,28
2011-11-19,29,26
2011-11-26,32,25
2011-12-03,29,30
2011-12-10,29,30
2011-12-17,28,29
2011-12-24,30,31
2011-12-31,27,28
2012-01-07,25,29
2012-01-14,25,27
2012-01-21,27,34
2012-01-28,28,33
2012-02-04,26,24
2012-02-11,35,27
2012-02-18,26,24
2012-02-25,24,22
2012-03-03,23,22
2012-03-10,21,21
2012-03-17,21,21
2012-03-24,21,20
2012-03-31,21,20
2012-04-07,21,19
2012-04-14,20,26
2012-04-21,20,20
2012-04-28,21,22
2012-05-05,20,21
2012-05-12,20,22
2012-05-19,21,21
2012-05-26,21,20
2012-06-02,22,22
2012-06-09,21,26
2012-06-16,23,29
2012-06-23,46,28
2012-06-30,23,29
2012-07-07,21,22
2012-07-14,21,21
2012-07-21,28,22
2012-07-28,22,24
2012-08-04,21,24
2012-08-11,21,33
2012-08-18,21,23
2012-08-25,30,26
2012-09-01,22,29
2012-09-08,20,24
2012-09-15,21,34
2012-09-22,19,23
2012-09-29,19,23
2012-10-06,19,21
2012-10-13,20,21
2012-10-20,22,18
2012-10-27,21,17
2012-11-03,18,17
2012-11-10,19,16
2012-11-17,22,16
2012-11-24,20,18
2012-12-01,19,16
2012-12-08,19,16
2012-12-15,18,16
2012-12-22,22,22
2012-12-29,22,19
2013-01-05,18,15
2013-01-12,18,25
2013-01-19,18,49
2013-01-26,18,23
2013-02-02,20,23
2013-02-09,19,18
2013-02-16,20,16
2013-02-23,19,15
2013-03-02,19,15
2013-03-09,18,16
2013-03-16,18,15
2013-03-23,18,26
2013-03-30,20,27
2013-04-06,19,24
2013-04-13,19,21
2013-04-20,18,20
2013-04-27,20,21
2013-05-04,21,21
2013-05-11,20,19
2013-05-18,20,17
2013-05-25,19,17
2013-06-01,27,16
2013-06-08,23,16
2013-06-15,22,17
2013-06-22,37,20
2013-06-29,24,21
2013-07-06,20,15
2013-07-13,20,14
2013-07-20,20,15
2013-07-27,19,15
2013-08-03,19,14
2013-08-10,20,14
2013-08-17,20,14
2013-08-24,29,13
2013-08-31,19,12
2013-09-07,18,12
2013-09-14,18,13
2013-09-21,18,12
2013-09-28,20,12
2013-10-05,18,12
2013-10-12,18,12
2013-10-19,21,12
2013-10-26,23,12
2013-11-02,18,13
2013-11-09,17,13
2013-11-16,17,13
2013-11-23,19,13
2013-11-30,18,14
2013-12-07,17,13
2013-12-14,18,12
2013-12-21,21,15
2013-12-28,28,14
2014-01-04,20,16
2014-01-11,17,24
2014-01-18,17,20
2014-01-25,17,37
2014-02-01,18,50
2014-02-08,17,31
2014-02-15,18,28
2014-02-22,17,32
2014-03-01,20,29
2014-03-08,18,29
2014-03-15,17,32
2014-03-22,17,49
2014-03-29,21,37
2014-04-05,19,32
2014-04-12,32,30
2014-04-19,28,29
2014-04-26,26,31
2014-05-03,28,32
2014-05-10,35,28
2014-05-17,55,43
2014-05-24,32,44
2014-05-31,27,41
2014-06-07,24,62
2014-06-14,23,59
2014-06-21,40,45
2014-06-28,26,46
2014-07-05,23,44
2014-07-12,23,100
2014-07-19,23,41
2014-07-26,22,36
2014-08-02,23,29
2014-08-09,24,27
2014-08-16,22,28
2014-08-23,27,27
2014-08-30,20,23
2014-09-06,18,21
2014-09-13,18,19
2014-09-20,18,19
2014-09-27,18,19
2014-10-04,18,17
2014-10-11,18,17
2014-10-18,18,18
2014-10-25,21,17
2014-11-01,18,16
2014-11-08,18,15
2014-11-15,18,15
2014-11-22,17,14
2014-11-29,17,14
2014-12-06,17,15
2014-12-13,18,15
2014-12-20,19,16
2014-12-27,21,18
2015-01-03,17,15
2015-01-10,16,14
2015-01-17,16,17
2015-01-24,17,24
2015-01-31,17,22
2015-02-07,18,19
2015-02-14,17,16
2015-02-21,17,16
2015-02-28,17,15
2015-03-07,16,15
2015-03-14,17,15
2015-03-21,17,15
2015-03-28,17,15
2015-04-04,17,15
2015-04-11,16,15
2015-04-18,16,16
2015-04-25,17,16
2015-05-02,16,15
