Week,Michael Jackson: (Worldwide),Sia: (Worldwide)
2011-09-24,73,13
2011-10-01,55,12
2011-10-08,66,12
2011-10-15,45,11
2011-10-22,44,11
2011-10-29,48,12
2011-11-05,65,12
2011-11-12,42,12
2011-11-19,40,13
2011-11-26,44,13
2011-12-03,40,13
2011-12-10,40,13
2011-12-17,39,13
2011-12-24,41,12
2011-12-31,37,13
2012-01-07,34,15
2012-01-14,34,15
2012-01-21,37,17
2012-01-28,39,18
2012-02-04,36,18
2012-02-11,49,19
2012-02-18,36,20
2012-02-25,33,19
2012-03-03,32,18
2012-03-10,29,18
2012-03-17,29,17
2012-03-24,29,17
2012-03-31,28,18
2012-04-07,28,18
2012-04-14,27,17
2012-04-21,27,16
2012-04-28,29,15
2012-05-05,28,16
2012-05-12,28,15
2012-05-19,28,15
2012-05-26,29,15
2012-06-02,30,15
2012-06-09,29,15
2012-06-16,32,15
2012-06-23,63,15
2012-06-30,32,15
2012-07-07,29,15
2012-07-14,29,14
2012-07-21,39,15
2012-07-28,30,14
2012-08-04,29,14
2012-08-11,29,14
2012-08-18,29,13
2012-08-25,41,14
2012-09-01,30,14
2012-09-08,28,14
2012-09-15,29,14
2012-09-22,27,14
2012-09-29,27,15
2012-10-06,26,14
2012-10-13,28,14
2012-10-20,30,14
2012-10-27,29,14
2012-11-03,25,13
2012-11-10,26,14
2012-11-17,30,14
2012-11-24,27,14
2012-12-01,26,14
2012-12-08,26,13
2012-12-15,25,12
2012-12-22,30,11
2012-12-29,30,12
2013-01-05,24,12
2013-01-12,24,13
2013-01-19,25,14
2013-01-26,25,13
2013-02-02,27,14
2013-02-09,26,12
2013-02-16,27,12
2013-02-23,26,12
2013-03-02,26,11
2013-03-09,25,11
2013-03-16,24,11
2013-03-23,26,10
2013-03-30,27,10
2013-04-06,26,11
2013-04-13,26,11
2013-04-20,25,11
2013-04-27,28,10
2013-05-04,29,10
2013-05-11,27,11
2013-05-18,27,11
2013-05-25,26,11
2013-06-01,37,11
2013-06-08,32,11
2013-06-15,31,10
2013-06-22,50,11
2013-06-29,34,11
2013-07-06,28,11
2013-07-13,28,11
2013-07-20,28,11
2013-07-27,26,13
2013-08-03,26,11
2013-08-10,28,11
2013-08-17,27,11
2013-08-24,40,10
2013-08-31,27,10
2013-09-07,25,10
2013-09-14,25,10
2013-09-21,25,10
2013-09-28,28,11
2013-10-05,25,10
2013-10-12,25,10
2013-10-19,29,10
2013-10-26,32,10
2013-11-02,25,11
2013-11-09,24,11
2013-11-16,24,10
2013-11-23,26,11
2013-11-30,25,11
2013-12-07,24,10
2013-12-14,24,10
2013-12-21,29,8
2013-12-28,39,9
2014-01-04,27,10
2014-01-11,24,11
2014-01-18,24,11
2014-01-25,24,11
2014-02-01,25,11
2014-02-08,24,11
2014-02-15,24,11
2014-02-22,24,11
2014-03-01,28,10
2014-03-08,25,11
2014-03-15,23,12
2014-03-22,24,11
2014-03-29,29,11
2014-04-05,26,11
2014-04-12,44,11
2014-04-19,39,12
2014-04-26,35,11
2014-05-03,38,16
2014-05-10,48,19
2014-05-17,76,28
2014-05-24,44,23
2014-05-31,38,25
2014-06-07,34,25
2014-06-14,32,30
2014-06-21,56,30
2014-06-28,35,34
2014-07-05,31,37
2014-07-12,32,36
2014-07-19,32,37
2014-07-26,30,37
2014-08-02,31,36
2014-08-09,34,36
2014-08-16,30,38
2014-08-23,38,40
2014-08-30,27,34
2014-09-06,25,31
2014-09-13,25,31
2014-09-20,25,33
2014-09-27,24,33
2014-10-04,24,31
2014-10-11,24,31
2014-10-18,25,30
2014-10-25,29,40
2014-11-01,25,39
2014-11-08,25,34
2014-11-15,26,30
2014-11-22,24,37
2014-11-29,23,33
2014-12-06,23,33
2014-12-13,24,30
2014-12-20,26,29
2014-12-27,29,28
2015-01-03,23,52
2015-01-10,23,51
2015-01-17,23,55
2015-01-24,23,47
2015-01-31,24,47
2015-02-07,25,100
2015-02-14,23,55
2015-02-21,23,50
2015-02-28,23,36
2015-03-07,22,33
2015-03-14,23,31
2015-03-21,23,40
2015-03-28,24,41
2015-04-04,24,48
2015-04-11,22,34
2015-04-18,23,35
2015-04-25,23,33
2015-05-02,22,30
2015-05-09,24,30
2015-05-16,23,30
2015-05-23,25,28
2015-05-30,25,27
2015-06-06,24,26
2015-06-13,24,27
2015-06-20,43,27
2015-06-27,28,26
2015-07-04,24,24
2015-07-11,24,22
2015-07-18,23,25
2015-07-25,25,23
2015-08-01,23,23
2015-08-08,23,23
2015-08-15,23,22
2015-08-22,29,21
2015-08-29,25,21
2015-09-05,22,21
2015-09-12,21,21
2015-09-19,22,24
2015-09-26,23,23
2015-10-03,23,23
2015-10-10,23,22
2015-10-17,25,22
2015-10-24,28,23
2015-10-31,24,25
2015-11-07,23,36
2015-11-14,22,23
2015-11-21,23,25
2015-11-28,23,46
2015-12-05,22,40
2015-12-12,23,30
2015-12-19,25,25
2015-12-26,26,25
2016-01-02,23,25
2016-01-09,25,25
2016-01-16,24,25
2016-01-23,27,38
2016-01-30,25,38
2016-02-06,30,28
2016-02-13,25,71
2016-02-20,24,43
2016-02-27,24,31
2016-03-05,22,30
2016-03-12,23,30
2016-03-19,23,52
2016-03-26,23,43
2016-04-02,23,39
2016-04-09,23,38
2016-04-16,43,41
2016-04-23,32,38
2016-04-30,25,37
2016-05-07,22,37
2016-05-14,23,45
2016-05-21,23,45
2016-05-28,25,39
2016-06-04,22,37
2016-06-11,21,37
2016-06-18,48,45
2016-06-25,31,43
2016-07-02,23,37
2016-07-09,22,35
2016-07-16,22,47
2016-07-23,22,47
2016-07-30,21,41
2016-08-06,20,37
2016-08-13,20,37
2016-08-20,20,35
2016-08-27,31,34
2016-09-03,25,52
2016-09-10,22,44
2016-09-17,32,58
