Week,Michael Jackson: (Worldwide),Taylor Swift: (Worldwide)
2011-09-24,54,23
2011-10-01,41,23
2011-10-08,49,23
2011-10-15,33,22
2011-10-22,33,21
2011-10-29,36,39
2011-11-05,48,33
2011-11-12,31,25
2011-11-19,30,35
2011-11-26,33,29
2011-12-03,30,28
2011-12-10,30,29
2011-12-17,29,30
2011-12-24,30,32
2011-12-31,28,28
2012-01-07,25,23
2012-01-14,26,25
2012-01-21,28,23
2012-01-28,29,24
2012-02-04,27,23
2012-02-11,36,42
2012-02-18,27,31
2012-02-25,25,33
2012-03-03,24,29
2012-03-10,21,26
2012-03-17,22,26
2012-03-24,22,26
2012-03-31,21,33
2012-04-07,21,25
2012-04-14,20,23
2012-04-21,20,23
2012-04-28,21,24
2012-05-05,21,21
2012-05-12,21,21
2012-05-19,21,22
2012-05-26,21,20
2012-06-02,22,26
2012-06-09,21,20
2012-06-16,24,20
2012-06-23,47,20
2012-06-30,24,20
2012-07-07,21,21
2012-07-14,22,21
2012-07-21,29,22
2012-07-28,22,23
2012-08-04,22,21
2012-08-11,21,47
2012-08-18,22,41
2012-08-25,30,38
2012-09-01,22,47
2012-09-08,21,44
2012-09-15,22,32
2012-09-22,20,37
2012-09-29,20,43
2012-10-06,19,45
2012-10-13,21,50
2012-10-20,22,93
2012-10-27,22,67
2012-11-03,19,50
2012-11-10,19,58
2012-11-17,22,57
2012-11-24,20,45
2012-12-01,20,66
2012-12-08,19,70
2012-12-15,19,63
2012-12-22,23,62
2012-12-29,22,66
2013-01-05,18,69
2013-01-12,18,60
2013-01-19,18,53
2013-01-26,18,47
2013-02-02,20,43
2013-02-09,19,65
2013-02-16,20,51
2013-02-23,19,53
2013-03-02,19,49
2013-03-09,18,48
2013-03-16,18,48
2013-03-23,19,45
2013-03-30,20,41
2013-04-06,19,43
2013-04-13,19,39
2013-04-20,19,37
2013-04-27,21,38
2013-05-04,22,37
2013-05-11,20,35
2013-05-18,20,44
2013-05-25,19,36
2013-06-01,27,42
2013-06-08,23,39
2013-06-15,23,40
2013-06-22,37,34
2013-06-29,25,35
2013-07-06,21,35
2013-07-13,20,36
2013-07-20,21,35
2013-07-27,20,33
2013-08-03,19,31
2013-08-10,21,32
2013-08-17,20,31
2013-08-24,29,62
2013-08-31,20,33
2013-09-07,19,29
2013-09-14,18,25
2013-09-21,19,25
2013-09-28,21,26
2013-10-05,19,23
2013-10-12,19,24
2013-10-19,22,24
2013-10-26,24,23
2013-11-02,18,30
2013-11-09,18,27
2013-11-16,18,27
2013-11-23,19,34
2013-11-30,19,28
2013-12-07,18,32
2013-12-14,18,26
2013-12-21,22,28
2013-12-28,29,29
2014-01-04,20,23
