Week,Michael Jackson: (Worldwide),Zayn Malik: (Worldwide)
2011-09-24,76,2
2011-10-01,57,3
2011-10-08,69,2
2011-10-15,47,2
2011-10-22,46,2
2011-10-29,50,2
2011-11-05,68,3
2011-11-12,44,4
2011-11-19,42,4
2011-11-26,46,4
2011-12-03,42,4
2011-12-10,42,4
2011-12-17,41,5
2011-12-24,43,7
2011-12-31,39,6
2012-01-07,36,8
2012-01-14,36,8
2012-01-21,39,7
2012-01-28,41,8
2012-02-04,38,7
2012-02-11,51,7
2012-02-18,38,9
2012-02-25,35,13
2012-03-03,34,11
2012-03-10,30,12
2012-03-17,30,12
2012-03-24,31,12
2012-03-31,30,17
2012-04-07,30,23
2012-04-14,28,20
2012-04-21,29,19
2012-04-28,30,18
2012-05-05,29,16
2012-05-12,30,15
2012-05-19,30,18
2012-05-26,30,15
2012-06-02,31,15
2012-06-09,30,15
2012-06-16,33,17
2012-06-23,66,16
2012-06-30,34,16
2012-07-07,30,16
2012-07-14,30,17
2012-07-21,41,17
2012-07-28,32,16
2012-08-04,30,17
2012-08-11,30,20
2012-08-18,31,25
2012-08-25,43,16
2012-09-01,32,16
2012-09-08,29,16
2012-09-15,30,14
2012-09-22,28,16
2012-09-29,28,15
2012-10-06,27,14
2012-10-13,29,14
2012-10-20,32,14
2012-10-27,31,15
2012-11-03,27,16
2012-11-10,27,16
2012-11-17,32,17
2012-11-24,28,16
2012-12-01,28,16
2012-12-08,27,15
2012-12-15,26,16
2012-12-22,32,20
2012-12-29,32,20
2013-01-05,25,26
2013-01-12,25,18
2013-01-19,26,16
2013-01-26,26,23
2013-02-02,28,17
2013-02-09,27,14
2013-02-16,29,15
2013-02-23,27,15
2013-03-02,27,14
2013-03-09,26,14
2013-03-16,25,13
2013-03-23,27,15
2013-03-30,28,15
2013-04-06,27,14
2013-04-13,27,13
2013-04-20,27,12
2013-04-27,29,13
2013-05-04,30,13
2013-05-11,29,12
2013-05-18,28,12
2013-05-25,27,12
2013-06-01,38,11
2013-06-08,33,13
2013-06-15,32,12
2013-06-22,53,13
2013-06-29,35,13
2013-07-06,29,12
2013-07-13,29,13
2013-07-20,29,16
2013-07-27,28,16
2013-08-03,27,15
2013-08-10,29,15
2013-08-17,29,33
2013-08-24,42,19
2013-08-31,28,15
2013-09-07,26,13
2013-09-14,26,12
2013-09-21,26,11
2013-09-28,30,11
2013-10-05,26,10
2013-10-12,26,10
2013-10-19,30,10
2013-10-26,33,10
2013-11-02,26,13
2013-11-09,25,11
2013-11-16,25,11
2013-11-23,27,13
2013-11-30,26,11
2013-12-07,25,12
2013-12-14,25,13
2013-12-21,30,16
2013-12-28,41,17
2014-01-04,29,16
2014-01-11,25,18
2014-01-18,25,11
2014-01-25,25,11
2014-02-01,26,11
2014-02-08,25,10
2014-02-15,25,11
2014-02-22,25,10
2014-03-01,29,10
