Year,Views of page Black,Views of page Blue,Views of page Brown,Views of page Green,Views of page Grey,Views of page Orange,Views of page Purple,Views of page Red,Views of page Violet,Views of page White,Views of page Yellow,Total,Percentage
2016,168291,288616,74962,163911,194676,64116,203850,198596,19939,108489,126585,1612031,3.1
2015,323931,468880,147211,295027,409154,126418,297424,497359,43312,240312,228298,3077326,5.9
2014,430812,710229,191945,421756,464097,133004,524290,567557,55679,300522,304239,4104130,7.8
2013,1522225,1271427,284289,844423,796587,180677,905813,797483,96336,794982,423823,7918065,15.1
2012,1297499,1040499,318206,778762,853797,251234,847078,911788,75005,614530,453328,7441726,14.2
2011,778134,986761,291769,707353,687575,258510,895019,1027232,77268,544520,432920,6687061,12.8
2010,900010,1206001,307727,882229,826165,274742,864986,1106835,68987,788409,451727,7677818,14.6
2009,1009328,1241933,299683,884765,647160,313228,841225,872846,71096,574689,427252,7183205,13.7
2008,958492,1128068,277365,732751,435703,318104,591884,938049,64674,581379,397745,6424214,12.3
2007,39936,57561,14574,29880,26828,15971,24640,37017,3215,26793,17277,293692,0.6
