Year,Views of page Black,Views of page Blue,Views of page Brown,Views of page Green,Views of page Grey,Views of page Orange,Views of page Purple,Views of page Red,Views of page Violet,Views of page White,Views of page Yellow,Total,Percentage
2016,198032,229755,56455,130396,210891,25547,173515,128559,13200,135055,83830,1385235,56.8
2015,160935,185971,49542,89856,166001,15620,113160,109749,10254,86399,64807,1052294,43.2
2014,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0
