Month,Views of page Black,Views of page Blue,Views of page Brown,Views of page Green,Views of page Grey,Views of page Orange,Views of page Purple,Views of page Red,Views of page Violet,Views of page White,Views of page Yellow,Total,Percentage
201608,764,695,193,456,352,371,435,632,82,369,315,4664,6.2
201607,895,849,230,524,445,595,407,694,94,399,303,5435,7.2
201606,771,676,180,421,442,479,414,655,117,397,271,4823,6.4
201605,957,725,185,463,536,309,552,749,127,410,307,5320,7
201604,695,625,173,388,396,228,507,628,126,303,263,4332,5.7
201603,1181,753,241,537,456,347,365,760,98,468,256,5462,7.2
201602,1285,712,213,475,392,432,354,869,112,480,309,5633,7.5
201601,1605,844,223,514,437,543,388,1177,97,532,340,6700,8.9
201512,1061,786,230,427,418,490,392,931,89,553,269,5646,7.5
201511,1075,720,250,418,407,413,401,910,145,450,253,5442,7.2
201510,1087,767,218,437,462,394,396,747,110,401,269,5288,7
201509,1209,685,258,437,29,264,345,865,108,441,293,4934,6.5
201508,1003,1014,257,482,494,269,419,1006,150,485,370,5949,7.9
201507,946,966,291,486,546,286,428,1062,102,450,376,5939,7.9
201506,0,0,0,0,0,0,0,0,0,0,0,0,0
201505,0,0,0,0,0,0,0,0,0,0,0,0,0
201504,0,0,0,0,0,0,0,0,0,0,0,0,0
201503,0,0,0,0,0,0,0,0,0,0,0,0,0
201502,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,0,0,0,0,0,0,0,0,0,0,0,0,0
201412,0,0,0,0,0,0,0,0,0,0,0,0,0
201411,0,0,0,0,0,0,0,0,0,0,0,0,0
201410,0,0,0,0,0,0,0,0,0,0,0,0,0
201409,0,0,0,0,0,0,0,0,0,0,0,0,0
201408,0,0,0,0,0,0,0,0,0,0,0,0,0
201407,0,0,0,0,0,0,0,0,0,0,0,0,0
201406,0,0,0,0,0,0,0,0,0,0,0,0,0
201405,0,0,0,0,0,0,0,0,0,0,0,0,0
201404,0,0,0,0,0,0,0,0,0,0,0,0,0
201403,0,0,0,0,0,0,0,0,0,0,0,0,0
201402,0,0,0,0,0,0,0,0,0,0,0,0,0
201401,0,0,0,0,0,0,0,0,0,0,0,0,0
201312,0,0,0,0,0,0,0,0,0,0,0,0,0
201311,0,0,0,0,0,0,0,0,0,0,0,0,0
201310,0,0,0,0,0,0,0,0,0,0,0,0,0
201309,0,0,0,0,0,0,0,0,0,0,0,0,0
201308,0,0,0,0,0,0,0,0,0,0,0,0,0
201307,0,0,0,0,0,0,0,0,0,0,0,0,0
201306,0,0,0,0,0,0,0,0,0,0,0,0,0
201305,0,0,0,0,0,0,0,0,0,0,0,0,0
201304,0,0,0,0,0,0,0,0,0,0,0,0,0
201303,0,0,0,0,0,0,0,0,0,0,0,0,0
201302,0,0,0,0,0,0,0,0,0,0,0,0,0
201301,0,0,0,0,0,0,0,0,0,0,0,0,0
201212,0,0,0,0,0,0,0,0,0,0,0,0,0
201211,0,0,0,0,0,0,0,0,0,0,0,0,0
201210,0,0,0,0,0,0,0,0,0,0,0,0,0
201209,0,0,0,0,0,0,0,0,0,0,0,0,0
201208,0,0,0,0,0,0,0,0,0,0,0,0,0
201207,0,0,0,0,0,0,0,0,0,0,0,0,0
201206,0,0,0,0,0,0,0,0,0,0,0,0,0
201205,0,0,0,0,0,0,0,0,0,0,0,0,0
201204,0,0,0,0,0,0,0,0,0,0,0,0,0
201203,0,0,0,0,0,0,0,0,0,0,0,0,0
201202,0,0,0,0,0,0,0,0,0,0,0,0,0
201201,0,0,0,0,0,0,0,0,0,0,0,0,0
201112,0,0,0,0,0,0,0,0,0,0,0,0,0
201111,0,0,0,0,0,0,0,0,0,0,0,0,0
201110,0,0,0,0,0,0,0,0,0,0,0,0,0
201109,0,0,0,0,0,0,0,0,0,0,0,0,0
201108,0,0,0,0,0,0,0,0,0,0,0,0,0
201107,0,0,0,0,0,0,0,0,0,0,0,0,0
201106,0,0,0,0,0,0,0,0,0,0,0,0,0
201105,0,0,0,0,0,0,0,0,0,0,0,0,0
201104,0,0,0,0,0,0,0,0,0,0,0,0,0
201103,0,0,0,0,0,0,0,0,0,0,0,0,0
201102,0,0,0,0,0,0,0,0,0,0,0,0,0
201101,0,0,0,0,0,0,0,0,0,0,0,0,0
201012,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,0,0,0,0,0,0,0,0,0,0,0,0,0
201010,0,0,0,0,0,0,0,0,0,0,0,0,0
201009,0,0,0,0,0,0,0,0,0,0,0,0,0
